"sample","number","size.class","scientific","status","zone","site","location","longitude","latitude","depth","successful_count","successful_length","time_stamp"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26218/?format=feather",0,"<Lm","All indicator species","Fished","Multiple Use Zone","Geographe Bay","Geographe Bay",115.1274,-33.5037,34.5,TRUE,TRUE,"2014-12-09T04:45:00Z"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26219/?format=feather",2,"<Lm","All indicator species","Fished","Special Purpose Zone (Mining Exclusion)","Geographe Bay","Geographe Bay",115.4329,-33.465,19.8,TRUE,TRUE,"2014-12-11T05:20:00Z"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26220/?format=feather",0,"<Lm","All indicator species","Fished","Special Purpose Zone (Mining Exclusion)","Geographe Bay","Geographe Bay",115.2287,-33.472,33.7,TRUE,TRUE,"2014-12-09T01:57:00Z"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26221/?format=feather",0,"<Lm","All indicator species","Fished","Special Purpose Zone (Mining Exclusion)","Geographe Bay","Geographe Bay",115.0986,-33.3679,42.5,TRUE,TRUE,"2014-12-09T23:35:00Z"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26222/?format=feather",0,"<Lm","All indicator species","No-take","National Park Zone","Geographe Bay","Geographe Bay",115.3862,-33.5425,13,TRUE,FALSE,"2014-12-12T05:13:00Z"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26223/?format=feather",7,"<Lm","All indicator species","Fished","Special Purpose Zone (Mining Exclusion)","Geographe Bay","Geographe Bay",115.3097,-33.3984,34.4,TRUE,TRUE,"2014-12-10T22:54:00Z"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26224/?format=feather",0,"<Lm","All indicator species","Fished","Special Purpose Zone (Mining Exclusion)","Geographe Bay","Geographe Bay",115.1317,-33.4446,41.1,TRUE,TRUE,"2014-12-09T05:28:00Z"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26225/?format=feather",0,"<Lm","All indicator species","Fished","Multiple Use Zone","Geographe Bay","Geographe Bay",115.2878,-33.5485,24.3,TRUE,TRUE,"2014-12-12T02:29:00Z"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26226/?format=feather",0,"<Lm","All indicator species","Fished","Special Purpose Zone (Mining Exclusion)","Geographe Bay","Geographe Bay",115.5134,-33.4028,17.2,TRUE,TRUE,"2014-12-11T04:31:00Z"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26227/?format=feather",0,"<Lm","All indicator species","Fished","Special Purpose Zone (Mining Exclusion)","Geographe Bay","Geographe Bay",115.2721,-33.3809,37.7,TRUE,TRUE,"2014-12-10T05:51:00Z"
