"sample","year","scientific","rls_thermal_niche"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25521/?format=feather","2019","Parupeneus spilurus",20.24947
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25521/?format=feather","2019","Scolopsis affinis",25.53
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25521/?format=feather","2019","Scolopsis affinis",25.53
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25521/?format=feather","2019","Scolopsis affinis",25.53
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25521/?format=feather","2019","Pomacanthus semicirculatus",25.01465
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25521/?format=feather","2019","Cephalopholis sonnerati",27.36
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25521/?format=feather","2019","Variola louti",24.50905
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25522/?format=feather","2019","Seriola rivoliana",21.89071
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25522/?format=feather","2019","Echeneis naucrates",25.55157
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25522/?format=feather","2019","Lethrinus miniatus",23.073
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25522/?format=feather","2019","Lethrinus miniatus",23.073
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25522/?format=feather","2019","Lethrinus miniatus",23.073
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25522/?format=feather","2019","Lethrinus miniatus",23.073
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25522/?format=feather","2019","Lethrinus miniatus",23.073
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25522/?format=feather","2019","Lethrinus miniatus",23.073
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25522/?format=feather","2019","Lethrinus miniatus",23.073
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25522/?format=feather","2019","Lethrinus miniatus",23.073
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25522/?format=feather","2019","Lethrinus miniatus",23.073
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25522/?format=feather","2019","Lethrinus miniatus",23.073
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25522/?format=feather","2019","Lethrinus miniatus",23.073
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25526/?format=feather","2019","Cyprinocirrhites polyactis",24.51275
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25526/?format=feather","2019","Suezichthys cyanolaemus",20.99964
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25526/?format=feather","2019","Lethrinus miniatus",23.073
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25526/?format=feather","2019","Lethrinus miniatus",23.073
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25526/?format=feather","2019","Lethrinus miniatus",23.073
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25526/?format=feather","2019","Lethrinus miniatus",23.073
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25526/?format=feather","2019","Aphareus furca",26.44796
