"sample","number","year","size.class","scientific","fb_length_at_maturity"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25485/?format=feather",0,"2019","0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25486/?format=feather",0,"2019","0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25487/?format=feather",0,"2019","0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25488/?format=feather",0,"2019","0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25489/?format=feather",0,"2019","0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25490/?format=feather",0,"2019","0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25491/?format=feather",0,"2019","0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25492/?format=feather",0,"2019","0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25493/?format=feather",0,"2019","0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25494/?format=feather",0,"2019","0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25496/?format=feather",0,"2019","0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25497/?format=feather",0,"2019","0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25498/?format=feather",0,"2019","0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25499/?format=feather",0,"2019","0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25500/?format=feather",0,"2019","0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25501/?format=feather",0,"2019","0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25502/?format=feather",0,"2019","0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25503/?format=feather",0,"2019","0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25504/?format=feather",0,"2019","0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25505/?format=feather",0,"2019","0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25506/?format=feather",0,"2019","0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25507/?format=feather",0,"2019","0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25508/?format=feather",0,"2019","0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25509/?format=feather",0,"2019","0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25510/?format=feather",0,"2019","0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25511/?format=feather",0,"2019","0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25512/?format=feather",0,"2019","0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25513/?format=feather",0,"2019","0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25514/?format=feather",0,"2019","0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25516/?format=feather",0,"2019","0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25517/?format=feather",0,"2019","0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25518/?format=feather",0,"2019","0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25619/?format=feather",0,"2022","0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25614/?format=feather",0,"2022","0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25599/?format=feather",0,"2022","0-50","all.indicators",NA
