OpCode	ImagePtPair	Index	Lx	Ly	Rx	Ry
20210520-1	55	0	79.24449	1483.34328	53.72508	1492.68657
20210520-1	56	0	1134.02728	1591.49254	1115.74711	1643.50746
20210520-1	57	0	1116.56663	1651.94030	1090.78279	1749.52239
20210520-1	58	0	731.46800	1804.13433	700.83631	1994.32836
20210520-1	59	0	904.96327	1541.01493	886.13012	1527.22388
20210520-1	60	0	3199.71354	1833.05970	3254.57608	1917.53731
20210520-1	61	0	1992.96327	1981.34328	2124.50262	2092.83582
20210520-1	62	0	2196.09549	1886.52239	2290.78699	1900.76119
20210520-1	63	0	2823.19832	857.64179	2797.47114	837.22388
20210520-1	64	0	2537.90031	1970.94030	2624.93809	2125.74627
20210520-1	64	1	2570.39454	1721.55224	2640.38405	1854.40299
20210520-1	65	0	2241.03253	1921.98507	2342.67891	2061.94030
20210520-1	65	1	2177.23400	1684.22388	2262.76285	1861.79104
20210520-1	66	0	2762.78699	1919.43284	2829.27177	2026.34328
20210520-1	66	1	2755.39979	1846.22388	2821.21301	1952.46269
20210520-1	67	0	858.94753	951.55224	913.48793	1046.80597
20210520-1	67	1	908.64323	815.20896	961.84050	915.83582
20210520-1	68	0	912.90976	920.95522	965.86988	989.71642
20210520-1	68	1	1035.80588	763.79104	1084.73662	829.86567
20210520-1	69	0	1566.48688	879.55224	1605.96852	901.88060
20210520-1	69	1	1565.81532	726.41791	1614.08604	731.79104
20210520-1	70	0	1401.95383	901.71642	1431.27177	1003.29851
20210520-1	70	1	1424.11542	774.77612	1461.49213	873.00000
20210520-1	71	0	1286.64953	947.68657	1330.47324	1037.86567
20210520-1	71	1	1378.65373	808.65672	1415.09024	931.07463
20210520-1	72	0	2630.75236	759.71642	2614.22350	787.65672
20210520-1	72	1	2597.28751	559.76119	2593.81637	598.25373
20210520-1	73	0	3013.62959	878.67164	2972.10913	1017.74627
20210520-1	73	1	3014.97272	797.40299	2978.82476	943.19403
20210520-1	74	0	2575.68416	878.88060	2552.52676	975.23881
20210520-1	74	1	2570.98321	801.64179	2550.51207	900.01493
20210520-1	75	0	3208.70829	1881.05970	3262.43337	1960.68657
20210520-1	75	1	3214.08080	1798.44776	3267.13431	1883.44776
