"sample","latitude","longitude","status","date.time","site","location","depth","observer.count","observer.length","successful.count","successful.length","comment"
"FH51",-33.90618897,114.8538721,"Fished","2020-10-13T08:06:00+08:00","C.FH.19","South-west",43,"Hayley","Claude","Yes","Yes",NA
"FH52",-33.99118897,114.8888721,"Fished","2020-10-13T12:36:00+08:00","C.FH.24","South-west",42.1,"Hayley","Claude","Yes","Yes",NA
"FH54",-33.76618897,114.9388721,"Fished","2020-10-17T09:20:00+08:00","C.FH.9","South-west",43.2,"Daphne",NA,"Yes","No","L372 card didn't record"
"FH55",-33.92368897,114.9088721,"Fished","2020-10-29T12:52:00+08:00","C.FH.20","South-west",44.9,"Rachel","Claude","Yes","Yes","FHWY. bolt fell off bruv on the way down"
"FH56",-33.83118897,114.8663721,"Fished","2020-10-12T15:31:00+08:00","C.FH.14","South-west",43.5,"Claude","Rachel","Yes","Yes",NA
"FH57",-33.78868897,114.8113721,"Fished","2020-10-12T13:12:00+08:00","C.FH.12","South-west",45.8,"Claude","Rachel","Yes","Yes",NA
"FH58",-33.66368897,114.8413721,"Fished","2020-10-12T07:47:00+08:00","C.FH.1","South-west",45.1,"Daphne","Claude","Yes","Yes",NA
"FH59",-33.66868897,114.8188721,"Fished","2020-10-12T08:32:00+08:00","C.FH.2","South-west",44.6,"Claude","Rachel","Yes","reconvert R videos","Habitat images for 439 saved in 563 folder"
"FH6",-33.70618897,114.8213721,"Fished","2020-10-12T10:50:00+08:00","C.FH.6","South-west",46,"Daphne","Rachel","Yes","Yes","rear camera turned off - Claude"
"FH60",-33.81618897,114.8213721,"Fished","2020-10-12T15:14:00+08:00","C.FH.13","South-west",44.5,"Claude","Rachel","Yes","Yes",NA
"FH61",-33.84118897,114.8638721,"Fished","2020-10-12T15:43:00+08:00","C.FH.14","South-west",43.9,"Claude","Brooke Gibbons","Yes","Yes",NA
"FH62",-33.75618897,114.8813721,"Fished","2020-10-17T11:17:00+08:00","C.FH.8","South-west",45.1,"Daphne",NA,"Yes","No","Battery died after 20mins down"
"FH63",-33.67868897,114.8163721,"Fished","2020-10-12T08:20:00+08:00","C.FH.2","South-west",46.3,"Claude","Brooke Gibbons","Yes","Yes","filmed 31 is 63, occy on bait"
"FH64",-33.70118897,114.9388721,"No-take","2020-10-17T08:56:00+08:00","C.FH.5","South-west",44.2,"Daphne","Claude","Yes","Yes",NA
"FH65",-33.71368897,114.8188721,"Fished","2020-10-12T10:59:00+08:00","C.FH.6","South-west",45.7,"Daphne","Claude","Yes","Yes","filmed 33 but changed to 65. left right labelled backwards. backwards cam switched off - Claude"
"FH66",-33.90618897,114.9363721,"Fished","2020-10-29T14:40:00+08:00","C.FH.18","South-west",41.8,"Daphne","Rachel","Yes","Yes","FHWY"
"FH67",-33.88868897,114.9238721,"Fished","2020-10-29T15:00:00+08:00","C.FH.17","South-west",46.1,"Rachel","Claude","Yes","Yes","FHWY. Light off. Very poor vis and high surge. light was on in video"
"FH68",-33.95118897,114.8288721,"Fished","2020-10-13T10:01:00+08:00","C.FH.22","South-west",44.5,"Rachel","Claude","Yes","Yes","piece of rope over right cam"
"FH69",-33.69618897,114.8038721,"Fished","2020-10-12T10:43:00+08:00","C.FH.4","South-west",46.9,"Ramesh","Claude","Yes","Yes","left right labelled backwards"
"FH7",-33.78368897,114.8788721,"Fished","2020-10-17T11:45:00+08:00","C.FH.11","South-west",45,"Daphne","Rachel","Yes","Yes","L369 memory card error but recovered all files"
"FH70",-33.67368897,114.8463721,"Fished","2020-10-12T08:07:00+08:00","C.FH.1","South-west",48.6,"Daphne","Claude","Yes","Yes","shocking vis"
"FH71",-33.88368897,114.8188721,"Fished","2020-10-13T07:30:00+08:00","C.FH.16","South-west",45.3,"Daphne","Brooke Gibbons","Yes","Yes",NA
"FH72",-33.88868897,114.9288721,"Fished","2020-10-29T15:06:00+08:00","C.FH.17","South-west",44.1,"Rachel","Claude","Yes","Yes","FHWY. Tangled at surface."
"FH74",-33.73118897,114.8063721,"Fished","2020-10-12T12:47:00+08:00","C.FH.7","South-west",44.9,"Daphne","Claude","Yes","Yes","filmed 84 SHOULD BE 74. dropped frames"
"FH77",-33.99618897,114.8763721,"Fished","2020-10-13T12:42:00+08:00","C.FH.24","South-west",42,"Daphne",NA,"Yes","No","R was zoomed in"
"FH78",-33.89118897,114.9163721,"Fished","2020-10-29T14:56:00+08:00","C.FH.17","South-west",45.8,"Rachel","Claude","Yes","Yes","FHWY"
"FH79",-33.88618897,114.8088721,"Fished","2020-10-13T07:43:00+08:00","C.FH.16","South-west",44.9,"Daphne","Brooke Gibbons","Yes","Yes",NA
"FH8",-33.72368897,114.8013721,"Fished","2020-10-12T12:34:00+08:00","C.FH.7","South-west",43.9,"Daphne","Rachel","Yes","Yes",NA
"FH82",-33.68618897,114.9238721,"No-take","2020-10-17T06:46:00+08:00","C.FH.3","South-west",44.8,"Daphne","Claude","Yes","Yes","EPIC shark"
"FH83",-33.91118897,114.8463721,"Fished","2020-10-13T08:13:00+08:00","C.FH.19","South-west",40.9,"Daphne","Rachel","Yes","Yes",NA
"FH84",-33.73368897,114.7988721,"Fished","2020-10-12T12:50:00+08:00","C.FH.7","South-west",45.6,"Daphne","Rachel","Yes","Yes","filmed 74 SHOULD BE 84"
"FH85",-33.92618897,114.9138721,"Fished","2020-10-29T12:55:00+08:00","C.FH.20","South-west",44.7,"Daphne","Rachel/Brooke","Yes","Yes","FHWY"
"FH87",-33.92868897,114.8938721,"Fished","2020-10-29T12:36:00+08:00","C.FH.21","South-west",43.8,"Rachel","Claude","Yes","Yes","No light"
"FH89",-33.68618897,114.8013721,"Fished","2020-10-12T10:34:00+08:00","C.FH.4","South-west",45.7,"Daphne","Claude","Yes","Yes","Habitat images for 439 saved in 563 folder"
"FH9",-33.90118897,114.8513721,"Fished","2020-10-13T07:58:00+08:00","C.FH.19","South-west",43.6,"Hayley","Mystery","Yes","Yes",NA
"FH92",-33.84368897,114.8713721,"Fished","2020-10-12T15:47:00+08:00","C.FH.14","South-west",44.2,"Daphne","Rachel","Yes","Yes",NA
"FH93",-33.77618897,114.8688721,"Fished","2020-10-17T11:33:00+08:00","C.FH.10","South-west",43.3,"Daphne","Claude","Yes","Yes",NA
"FH94",-33.90868897,114.9413721,"Fished","2020-10-29T14:36:00+08:00","C.FH.18","South-west",41.9,"Rachel","Claude","Yes","Yes","Poor vis. high surge"
"FH95",-33.75868897,114.8913721,"Fished","2020-10-17T11:07:00+08:00","C.FH.8","South-west",46.8,"Daphne","Rachel","Yes","Yes",NA
"FH96",-33.81868897,114.8338721,"Fished","2020-10-12T15:20:00+08:00","C.FH.13","South-west",44.9,"Daphne","Claude","Yes","Yes",NA
"FH99",-33.95368897,114.8363721,"Fished","2020-10-13T10:04:00+08:00","C.FH.22","South-west",43.5,"Hayley","Claude","Yes","Yes",NA
"FHA",-33.683135,114.937827,"No-take","2020-10-17T06:55:00+08:00","C.FH.3","South-west",44.6,"Daphne","Rachel","Yes","Yes","moved inside"
"FHB",-33.681655,114.957127,"No-take","2020-10-17T07:02:00+08:00","C.FH.A","South-west",41.3,"Daphne","Rachel","Yes","Yes",NA
"FHC",-33.680718,114.965092,"No-take","2020-10-17T07:07:00+08:00","C.FH.A","South-west",36.2,"Daphne","Claude","Yes","Yes","dropped on top of a last min surprise ledge"
"FHC01",-33.669869,114.809825,"Fished","2020-10-12T08:38:00+08:00","C.FH.2","South-west",44.8,"Daphne","Rachel","Yes","Yes","captains pick #1, snagged"
"FHC02",-33.72358,114.813293,"Fished","2020-10-12T11:13:00+08:00","C.FH.6","South-west",42,"Daphne","Rachel","Yes","Yes","captains pick No2"
"FHC03",-33.948622,114.819555,"Fished","2020-10-13T09:56:00+08:00","C.FH.22","South-west",44.5,"Claude","Brooke Gibbons","Yes","Yes",NA
"FHD",-33.686897,114.958507,"No-take","2020-10-17T07:12:00+08:00","C.FH.A","South-west",39.5,"Daphne","Rachel","Yes","Yes",NA
"FHE",-33.687267,114.951172,"No-take","2020-10-17T07:16:00+08:00","C.FH.A","South-west",42.3,"Daphne","Rachel","Yes","Yes",NA
"IO1",-34.07868897,114.7788721,"No-take","2020-10-15T12:07:00+08:00","C.IO.43","South-west",64.6,"Hayley","Daphne","Yes","Yes",NA
"IO100",-34.07618897,114.9088721,"No-take","2020-10-29T10:21:00+08:00","C.IO.39","South-west",43.6,"Rachel","Brooke Gibbons","Yes","Yes",NA
"IO101",-34.07868897,114.8963721,"No-take","2020-10-29T10:10:00+08:00","C.IO.39","South-west",43.5,"Rachel","Claude","Yes","Yes","very stong surge"
"IO102",-34.07118897,114.9113721,"No-take","2020-10-29T10:26:00+08:00","C.IO.2","South-west",45.2,"Rachel","Claude","Yes","Yes","strong surge"
"IO105",-34.06368897,114.6688721,"No-take","2020-10-23T09:45:00+08:00","C.IO.30","South-west",139,"Rachel","Claude","Yes","Yes","light turned off when it hit the bottom"
"IO107",-34.06368897,114.6763721,"No-take","2020-10-23T09:50:00+08:00","C.IO.30","South-west",137,"Rachel","Claude","Yes","Yes",NA
"IO108",-34.05118897,114.6688721,"No-take","2020-10-23T10:04:00+08:00","C.IO.30","South-west",138,"Rachel","Claude","Yes","Yes","filmed 106 but was 108"
"IO109",-34.05618897,114.6738721,"No-take","2020-10-23T09:57:00+08:00","C.IO.30","South-west",138,"Rachel","Brooke Gibbons","Yes","Yes","knot in rope"
"IO110",-34.14118897,114.7288721,"No-take","2020-10-22T08:00:00+08:00","C.IO.68","South-west",128,"Brooke Gibbons","Claude","Yes","Yes","Baby sharks"
"IO113",-34.05868897,114.7388721,"No-take","2020-10-23T07:30:00+08:00","C.IO.31","South-west",111,"Rachel","Claude","Yes","Yes",NA
"IO115",-34.05368897,114.7363721,"No-take","2020-10-23T07:34:00+08:00","C.IO.31","South-west",112,"Rachel","Claude","Yes","Yes",NA
"IO117",-34.06368897,114.7388721,"No-take","2020-10-23T07:25:00+08:00","C.IO.31","South-west",115,"Rachel","Brooke Gibbons","Yes","Yes",NA
"IO119",-34.07618897,114.9038721,"No-take","2020-10-29T10:17:00+08:00","C.IO.39","South-west",43.8,"Rachel","Brooke Gibbons","Yes","Yes",NA
"IO122",-34.11618897,114.8263721,"No-take","2020-10-15T12:35:00+08:00","C.IO.59","South-west",57.4,"Brooke Gibbons","Claude","Yes","Yes",NA
"IO123",-34.10618897,114.8188721,"No-take","2020-10-15T12:42:00+08:00","C.IO.59","South-west",49.1,"Hayley","Daphne","Yes","Yes",NA
"IO125",-34.10868897,114.8263721,"No-take","2020-10-15T12:38:00+08:00","C.IO.59","South-west",55.8,"Hayley","Daphne","Yes","Yes",NA
"IO126",-34.11368897,114.8188721,"No-take","2020-10-15T12:31:00+08:00","C.IO.59","South-west",58.2,"Brooke Gibbons","Claude","Yes","Yes",NA
"IO130",-33.98118897,114.8763721,"Fished","2020-10-13T12:24:00+08:00","C.IO.37","South-west",41.1,"Daphne",NA,"Yes","No","R camera (368) flooded (battery 27) - No backwards habitat"
"IO132",-33.99118897,114.8713721,"Fished","2020-10-13T12:47:00+08:00","C.IO.37","South-west",42.6,"Hayley","Daphne","Yes","Yes",NA
"IO133",-33.99118897,114.8663721,"Fished","2020-10-13T12:50:00+08:00","C.IO.37","South-west",40.8,"Daphne","Rachel","Yes","Yes",NA
"IO134",-33.98368897,114.8613721,"Fished","2020-10-13T12:14:00+08:00","C.IO.37","South-west",41.2,"Claude","Brooke Gibbons","Yes","Yes",NA
"IO145",-33.98618897,114.8238721,"Fished","2020-10-13T10:24:00+08:00","C.IO.22","South-west",45.5,"Hayley","Daphne","Yes","Yes","in/out"
"IO146",-33.97618897,114.8213721,"Fished","2020-10-13T10:17:00+08:00","C.IO.33","South-west",45.7,"Claude","Brooke Gibbons","Yes","Yes","in/out"
"IO147",-33.98118897,114.8313721,"Fished","2020-10-13T10:28:00+08:00","C.IO.33","South-west",44,"Claude","Brooke Gibbons","Yes","Yes","in/out"
"IO148",-34.01118897,114.5963721,"Fished","2020-10-23T10:31:00+08:00","C.IO.46","South-west",140,"Rachel","Claude","Yes","Yes",NA
"IO15",-34.06118897,114.8663721,"No-take","2020-10-16T07:59:00+08:00","C.IO.35","South-west",40.8,"Brooke Gibbons","Claude","Yes","Yes",NA
"IO152",-33.98118897,114.8688721,"Fished","2020-10-13T12:18:00+08:00","C.IO.37","South-west",41.2,"Hayley","Daphne","Yes","Yes",NA
"IO153",-34.04618897,114.8888721,"Fished","2020-10-16T07:36:00+08:00","C.IO.65","South-west",42.6,"Brooke Gibbons","Claude","Yes","Yes","Rope tangled at surface - was re-deployed"
"IO155",-34.04368897,114.8838721,"Fished","2020-10-16T07:42:00+08:00","C.IO.65","South-west",41.9,"Hayley","Claude","Yes","Yes","R cam has some stuff in front of it"
"IO157",-33.97118897,114.8238721,"Fished","2020-10-13T10:14:00+08:00","C.IO.33","South-west",45.6,"Daphne",NA,"Yes","No","in/out, zoomed in"
"IO158",-33.98118897,114.8188721,"Fished","2020-10-13T10:21:00+08:00","C.IO.33","South-west",44.6,"Hayley","Claude","Yes","Yes","No Backwards habitat"
"IO16",-34.07368897,114.8688721,"No-take","2020-10-16T09:43:00+08:00","C.IO.35","South-west",41.4,"Daphne",NA,"Yes","No","L card failed again"
"IO164",-34.03368897,114.9038721,"Fished","2020-10-16T07:14:00+08:00","C.IO.62","South-west",44.1,"Hayley","Daphne","Yes","Yes","Light flooded"
"IO165",-34.04368897,114.8988721,"Fished","2020-10-16T07:23:00+08:00","C.IO.62","South-west",42.6,"Hayley","Ramesh/Claude","Yes","Yes",NA
"IO17",-34.06368897,114.8763721,"No-take","2020-10-16T08:07:00+08:00","C.IO.35","South-west",41.1,"Daphne",NA,"Yes","No","Rope was tangled - not on bottom properly; memory card error in L"
"IO180",-33.99618897,114.7038721,"Fished","2020-10-23T12:36:00+08:00","C.IO.41","South-west",122,"Brooke Gibbons","Claude","Yes","Yes",NA
"IO184",-34.04118897,114.9038721,"Fished","2020-10-16T07:19:00+08:00","C.IO.62","South-west",45.9,"Hayley","Ramesh/Brooke","Yes","Yes",NA
"IO189",-33.98868897,114.6638721,"Fished","2020-10-23T12:31:00+08:00","C.IO.40","South-west",139,"Daphne",NA,"Yes","No","L card failed to record"
"IO191",-33.99868897,114.6713721,"Fished","2020-10-23T12:20:00+08:00","C.IO.40","South-west",137,"Rachel","Brooke Gibbons","Yes","Yes",NA
"IO192",-33.98618897,114.6688721,"Fished","2020-10-23T12:36:00+08:00","C.IO.40","South-west",138,"Rachel","Claude","Yes","Yes",NA
"IO194",-33.99618897,114.6638721,"Fished","2020-10-23T12:24:00+08:00","C.IO.40","South-west",139,"Rachel","Brooke Gibbons","Yes","Yes",NA
"IO195",-34.09368897,114.8588721,"No-take","2020-10-16T09:57:00+08:00","C.IO.6","South-west",43.4,"Brooke Gibbons","Claude","Yes","Yes",NA
"IO199",-34.08618897,114.8613721,"No-take","2020-10-16T09:51:00+08:00","C.IO.6","South-west",42.1,"Claude","Brooke Gibbons","Yes","Yes",NA
"IO201",-34.05618897,114.8338721,"No-take","2020-10-15T14:46:00+08:00","C.IO.5","South-west",45.3,"Hayley","Ramesh/Claude","Yes","Yes",NA
"IO204",-34.06618897,114.7863721,"No-take","2020-10-15T10:35:00+08:00","C.IO.7","South-west",61.5,"Hayley","Ramesh/Claude","Yes","Yes",NA
"IO206",-34.06368897,114.7913721,"No-take","2020-10-15T10:28:00+08:00","C.IO.7","South-west",58.2,"Daphne",NA,"Yes","No","Left only goes for 35 mins"
"IO207",-34.06118897,114.7863721,"No-take","2020-10-15T10:23:00+08:00","C.IO.7","South-west",60.4,"Hayley","Ramesh/Claude","Yes","Yes",NA
"IO210",-34.09118897,114.8738721,"No-take","2020-10-16T10:09:00+08:00","C.IO.6","South-west",43.5,"Hayley","Ramesh/Claude","Yes","Yes",NA
"IO211",-34.05618897,114.9063721,"No-take","2020-10-29T10:42:00+08:00","C.IO.3","South-west",43.5,"Rachel","Claude","Yes","Yes","Filmed 250 was 211"
"IOC06",-34.048689,114.876372,"Fished","2020-10-16T07:48:00+08:00","C.IO.65","South-west",41.5,"Ramesh","Claude","Yes","Yes","156 was too close to NPZ. Changed from IOCO4 to IOC06"
"IO216",-34.06118897,114.9163721,"No-take","2020-10-29T10:33:00+08:00","C.IO.3","South-west",47.5,"Rachel","Claude","Yes","Yes",NA
"IO217",-34.06618897,114.9188721,"No-take","2020-10-16T12:43:00+08:00","C.IO.2","South-west",47.1,"Claude","Brooke Gibbons","Yes","Yes","17 no video"
"IO218",-34.07368897,114.9213721,"No-take","2020-10-16T12:28:00+08:00","C.IO.2","South-west",46.8,"Hayley","Ramesh/Claude","Yes","Yes",NA
"IO220",-34.05618897,114.8438721,"No-take","2020-10-15T14:39:00+08:00","C.IO.5","South-west",43.7,"Brooke Gibbons","Claude","Yes","Yes",NA
"IO222",-34.06618897,114.8313721,"No-take","2020-10-15T14:54:00+08:00","C.IO.4","South-west",45,"Hayley","Ramesh/Claude","Yes","Yes",NA
"IO223",-34.07118897,114.8463721,"No-take","2020-10-15T14:25:00+08:00","C.IO.4","South-west",42.9,"Hayley","Ramesh/Claude","Yes","Yes",NA
"IO224",-34.06118897,114.8388721,"No-take","2020-10-15T14:35:00+08:00","C.IO.4","South-west",43.6,"Hayley","Claude","Yes","Yes",NA
"IO225",-34.07118897,114.8338721,"No-take","2020-10-15T14:20:00+08:00","C.IO.4","South-west",44.9,"Hayley","Claude","Yes","Yes",NA
"IO226",-34.06368897,114.8438721,"No-take","2020-10-15T14:32:00+08:00","C.IO.4","South-west",42.8,"Brooke Gibbons","Claude","Yes","Yes",NA
"IO227",-33.99868897,114.7838721,"Fished","2020-10-19T06:37:00+08:00","C.IO.42","South-west",52.9,"Ramesh","Claude","Yes","Yes",NA
"IO228",-34.00368897,114.7938721,"Fished","2020-10-19T06:46:00+08:00","C.IO.42","South-west",50.4,"Rachel","Claude","Yes","Yes",NA
"IO229",-33.99368897,114.7863721,"Fished","2020-10-19T06:31:00+08:00","C.IO.42","South-west",53,"Ramesh","Hayley","Yes","Yes",NA
"IO235",-34.06618897,114.9138721,"No-take","2020-10-16T12:49:00+08:00","C.IO.2","South-west",46.5,"Daphne",NA,"Yes","No","L didn't work again - memory card error"
"IO236",-34.08118897,114.9238721,"No-take","2020-10-16T12:22:00+08:00","C.IO.1","South-west",46.8,"Hayley","Brooke Gibbons","Yes","Yes",NA
"IO237",-34.08118897,114.9363721,"No-take","2020-10-16T12:15:00+08:00","C.IO.1","South-west",43.2,"Hayley","Claude","Yes","Yes","Missing Backwards habitat"
"IO239",-34.09118897,114.9313721,"No-take","2020-10-16T12:05:00+08:00","C.IO.1","South-west",45.9,"Hayley","Claude","Yes","Yes",NA
"IO241",-33.99368897,114.7913721,"Fished","2020-10-19T06:26:00+08:00","C.IO.42","South-west",50.6,"Ramesh","Hayley","Yes","Yes",NA
"IO244",-34.00368897,114.9063721,"Fished","2020-10-19T11:35:00+08:00","C.IO.47","South-west",44.7,"Ramesh","Claude","Yes","Yes",NA
"IO245",-34.00868897,114.9013721,"Fished","2020-10-19T11:30:00+08:00","C.IO.47","South-west",42.3,"Ramesh","Claude","Yes","Yes","tilted up a bit, cant see benthos"
"IO253",-34.01368897,114.7038721,"Fished","2020-10-23T12:15:00+08:00","C.IO.49","South-west",124,"Brooke Gibbons","Claude","Yes","Yes","Rear facing camera corrupt memory card"
"IO254",-34.01868897,114.6963721,"Fished","2020-10-23T12:10:00+08:00","C.IO.49","South-west",119,"Rachel","Claude","Yes","Yes",NA
"IO258",-33.96618897,114.9138721,"Fished","2020-10-19T12:05:00+08:00","C.IO.20","South-west",45.2,"Ramesh","Claude","Yes","Yes","Couldn't record habitat footage"
"IO259",-33.96868897,114.9213721,"Fished","2020-10-19T12:00:00+08:00","C.IO.20","South-west",46.8,"Rachel","Claude","Yes","Yes",NA
"IO260",-33.97118897,114.9163721,"Fished","2020-10-19T11:55:00+08:00","C.IO.20","South-west",46.3,"Rachel","Claude","Yes","Yes",NA
"IO261",-33.97618897,114.9213721,"Fished","2020-10-19T11:46:00+08:00","C.IO.20","South-west",46.9,"Ramesh","Claude","Yes","Yes",NA
"IO262",-34.01368897,114.8738721,"Fished","2020-10-19T09:46:00+08:00","C.IO.19","South-west",41.9,"Rachel","Claude","Yes","Yes",NA
"IO263",-34.00868897,114.8788721,"Fished","2020-10-19T09:52:00+08:00","C.IO.19","South-west",42.4,"Brooke Gibbons","Claude","Yes","Yes",NA
"IO264",-34.01868897,114.8738721,"Fished","2020-10-19T09:31:00+08:00","C.IO.19","South-west",42,"Brooke Gibbons","Claude","Yes","Yes",NA
