"sample","longitude","latitude","length","number","scientific","community_thermal_index","location","depth","successful_count","successful_length","status","zone"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26449/?format=feather",115.3631,-33.3755,155.41327,1,"Scobinichthys granulatus",18.79196,"Geographe Bay",31.1,TRUE,TRUE,"Fished","Special Purpose Zone (Mining Exclusion)"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26449/?format=feather",115.3631,-33.3755,188.87147,1,"Upeneichthys vlamingii",16.65296,"Geographe Bay",31.1,TRUE,TRUE,"Fished","Special Purpose Zone (Mining Exclusion)"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26450/?format=feather",115.3559,-33.3768,184.341,1,"Decapterus muroadsi",20.0715,"Geographe Bay",32.5,TRUE,TRUE,"Fished","Special Purpose Zone (Mining Exclusion)"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26452/?format=feather",115.4656,-33.4839,135.3844,1,"Trachurus novaezelandiae",19.35912,"Geographe Bay",26.8,TRUE,TRUE,"Fished","Multiple Use Zone"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26452/?format=feather",115.4656,-33.4839,134.10716,1,"Trachurus novaezelandiae",19.35912,"Geographe Bay",26.8,TRUE,TRUE,"Fished","Multiple Use Zone"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26453/?format=feather",115.3892,-33.381,307.23153,1,"Glaucosoma hebraicum",20.95656,"Geographe Bay",29.7,TRUE,TRUE,"Fished","Special Purpose Zone (Mining Exclusion)"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26453/?format=feather",115.3892,-33.381,341.35223,1,"Chrysophrys auratus",19.75909,"Geographe Bay",29.7,TRUE,TRUE,"Fished","Special Purpose Zone (Mining Exclusion)"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26456/?format=feather",115.3748,-33.3731,761.03002,1,"Chrysophrys auratus",19.75909,"Geographe Bay",30.9,TRUE,TRUE,"Fished","Special Purpose Zone (Mining Exclusion)"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26195/?format=feather",115.413,-33.5297,459.3734,1,"Seriola hippos",20.70145,"Geographe Bay",13.2,TRUE,TRUE,"Fished","Multiple Use Zone"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26195/?format=feather",115.413,-33.5297,278.42978,1,"Chrysophrys auratus",19.75909,"Geographe Bay",13.2,TRUE,TRUE,"Fished","Multiple Use Zone"
