"campaignid","sample","family","genus","species","length","number","range","mass.kg","code"
"2022-05_PtCloates_stereo-BRUVS","15","Carangidae","Carangoides","gymnostethus",331.69147,1,2895.78595,0.695497394916872,"37337022"
"2022-05_PtCloates_stereo-BRUVS","15","Carangidae","Carangoides","gymnostethus",346.02514,1,3350.09439,0.781190574536588,"37337022"
"2022-05_PtCloates_stereo-BRUVS","15","Carangidae","Carangoides","gymnostethus",358.57457,1,2862.40712,0.861488751270438,"37337022"
"2022-05_PtCloates_stereo-BRUVS","15","Carangidae","Carangoides","gymnostethus",293.14767,1,2958.17338,0.495398118075614,"37337022"
"2022-05_PtCloates_stereo-BRUVS","15","Carangidae","Carangoides","gymnostethus",336.57453,1,2655.97398,0.723980842906929,"37337022"
"2022-05_PtCloates_stereo-BRUVS","15","Carangidae","Carangoides","gymnostethus",320.75694,1,2176.41045,0.634325288417306,"37337022"
"2022-05_PtCloates_stereo-BRUVS","15","Carangidae","Carangoides","gymnostethus",337.24159,1,2722.82228,0.727928448500748,"37337022"
"2022-05_PtCloates_stereo-BRUVS","15","Carangidae","Carangoides","gymnostethus",335.65701,1,2841.5469,0.718573315686839,"37337022"
"2022-05_PtCloates_stereo-BRUVS","15","Carangidae","Carangoides","gymnostethus",313.50934,1,2490.84638,0.595733362240922,"37337022"
"2022-05_PtCloates_stereo-BRUVS","15","Carangidae","Gnathanodon","speciosus",574.2685,1,2579.7916,3.69630993029802,"37337012"
"2022-05_PtCloates_stereo-BRUVS","15","Carangidae","Seriola","dumerili",867.1672,1,1609.51603,12.3523753083709,"37337025"
"2022-05_PtCloates_stereo-BRUVS","15","Echeneidae","Echeneis","naucrates",685.39263,1,4512.72352,1.09587324135917,"37336001"
"2022-05_PtCloates_stereo-BRUVS","15","Lethrinidae","Gymnocranius","euanus",382.17457,1,1474.46863,1.25975505673416,"37351022"
"2022-05_PtCloates_stereo-BRUVS","15","Lethrinidae","Gymnocranius","sp1",351.23587,1,2271.84658,0.838355251202068,NA
"2022-05_PtCloates_stereo-BRUVS","15","Lethrinidae","Gymnocranius","sp1",454.09667,1,1602.00897,1.78932465974227,NA
"2022-05_PtCloates_stereo-BRUVS","15","Lethrinidae","Gymnocranius","sp1",389.52608,1,2783.16593,1.13781288766836,NA
"2022-05_PtCloates_stereo-BRUVS","15","Lethrinidae","Lethrinus","miniatus",503.32318,1,1371.90433,2.47756027813481,"37351009"
"2022-05_PtCloates_stereo-BRUVS","15","Lethrinidae","Lethrinus","miniatus",413.71352,1,1167.76259,1.30323125943278,"37351009"
"2022-05_PtCloates_stereo-BRUVS","15","Lethrinidae","Lethrinus","miniatus",469.70417,1,1411.64012,1.97537317179041,"37351009"
"2022-05_PtCloates_stereo-BRUVS","15","Lethrinidae","Lethrinus","rubrioperculatus",306.12431,1,1284.93197,0.532689866992394,"37351012"
"2022-05_PtCloates_stereo-BRUVS","15","Lethrinidae","Lethrinus","rubrioperculatus",368.20292,1,1355.67123,0.916708584361775,"37351012"
"2022-05_PtCloates_stereo-BRUVS","15","Lethrinidae","Lethrinus","rubrioperculatus",344.31898,1,1673.20173,0.75266215318606,"37351012"
"2022-05_PtCloates_stereo-BRUVS","15","Lutjanidae","Pristipomoides","sp1",403.63216,1,3785.1139,1.18197866680232,NA
"2022-05_PtCloates_stereo-BRUVS","15","Pinguipedidae","Parapercis","nebulosa",52.82646,1,1381.72719,0.0011970452166676,"37390005"
"2022-05_PtCloates_stereo-BRUVS","15","Pinguipedidae","Parapercis","nebulosa",43.60194,1,1332.23118,0.000673090511045428,"37390005"
"2022-05_PtCloates_stereo-BRUVS","15","Pinguipedidae","Parapercis","nebulosa",81.97516,1,1239.54409,0.00447304068385892,"37390005"
