"","sample","caab_code","level_1","level_2","level_3","level_4","level_5","level_6","level_7","level_8","family","genus","species","count","campaignid"
"16","10.01","11168912","Biota","Cnidaria","Corals","Black & Octocorals","Fan (2D)",NA,NA,NA,NA,NA,NA,20,"2019-08_Ningaloo_stereo-BRUVs"
"17","10.01","82001014","Physical","Substrate","Unconsolidated (soft)","Sand / mud (<2mm)","Coarse sand (with shell fragments)",NA,NA,NA,NA,NA,NA,2,"2019-08_Ningaloo_stereo-BRUVs"
"18","10.01","82001015","Physical","Substrate","Unconsolidated (soft)","Sand / mud (<2mm)","Fine sand (no shell fragments)",NA,NA,NA,NA,NA,NA,10,"2019-08_Ningaloo_stereo-BRUVs"
"19","10.02","00000001","Biota","Unscorable",NA,NA,NA,NA,NA,NA,NA,NA,NA,8,"2019-08_Ningaloo_stereo-BRUVs"
"20","10.02","10000903","Biota","Sponges","Massive forms",NA,NA,NA,NA,NA,NA,NA,NA,1,"2019-08_Ningaloo_stereo-BRUVs"
"21","10.02","11077906","Biota","Cnidaria","Hydrocorals","Branching",NA,NA,NA,NA,NA,NA,NA,1,"2019-08_Ningaloo_stereo-BRUVs"
"22","10.02","11168902","Biota","Cnidaria","Corals","Black & Octocorals","Branching (3D)",NA,NA,NA,NA,NA,NA,3,"2019-08_Ningaloo_stereo-BRUVs"
"23","10.02","11168912","Biota","Cnidaria","Corals","Black & Octocorals","Fan (2D)",NA,NA,NA,NA,NA,NA,7,"2019-08_Ningaloo_stereo-BRUVs"
"24","10.02","11168917","Biota","Cnidaria","Corals","Black & Octocorals","Whip",NA,NA,NA,NA,NA,NA,1,"2019-08_Ningaloo_stereo-BRUVs"
"25","10.02","82001014","Physical","Substrate","Unconsolidated (soft)","Sand / mud (<2mm)","Coarse sand (with shell fragments)",NA,NA,NA,NA,NA,NA,19,"2019-08_Ningaloo_stereo-BRUVs"
"26","10.03","00000001","Biota","Unscorable",NA,NA,NA,NA,NA,NA,NA,NA,NA,10,"2019-08_Ningaloo_stereo-BRUVs"
"27","10.03","10000903","Biota","Sponges","Massive forms",NA,NA,NA,NA,NA,NA,NA,NA,2,"2019-08_Ningaloo_stereo-BRUVs"
"28","10.03","10000912","Biota","Sponges","Erect forms",NA,NA,NA,NA,NA,NA,NA,NA,1,"2019-08_Ningaloo_stereo-BRUVs"
"29","10.03","11001000","Biota","Cnidaria","Hydroids",NA,NA,NA,NA,NA,NA,NA,NA,1,"2019-08_Ningaloo_stereo-BRUVs"
"30","10.03","11168902","Biota","Cnidaria","Corals","Black & Octocorals","Branching (3D)",NA,NA,NA,NA,NA,NA,4,"2019-08_Ningaloo_stereo-BRUVs"
"31","10.03","11168912","Biota","Cnidaria","Corals","Black & Octocorals","Fan (2D)",NA,NA,NA,NA,NA,NA,2,"2019-08_Ningaloo_stereo-BRUVs"
"32","10.03","11168917","Biota","Cnidaria","Corals","Black & Octocorals","Whip",NA,NA,NA,NA,NA,NA,12,"2019-08_Ningaloo_stereo-BRUVs"
"33","10.03","82001014","Physical","Substrate","Unconsolidated (soft)","Sand / mud (<2mm)","Coarse sand (with shell fragments)",NA,NA,NA,NA,NA,NA,1,"2019-08_Ningaloo_stereo-BRUVs"
"34","10.03","82001015","Physical","Substrate","Unconsolidated (soft)","Sand / mud (<2mm)","Fine sand (no shell fragments)",NA,NA,NA,NA,NA,NA,7,"2019-08_Ningaloo_stereo-BRUVs"
"35","10.04","00000001","Biota","Unscorable",NA,NA,NA,NA,NA,NA,NA,NA,NA,15,"2019-08_Ningaloo_stereo-BRUVs"
"36","10.04","10000903","Biota","Sponges","Massive forms",NA,NA,NA,NA,NA,NA,NA,NA,6,"2019-08_Ningaloo_stereo-BRUVs"
"37","10.04","10000912","Biota","Sponges","Erect forms",NA,NA,NA,NA,NA,NA,NA,NA,2,"2019-08_Ningaloo_stereo-BRUVs"
"38","10.04","11168917","Biota","Cnidaria","Corals","Black & Octocorals","Whip",NA,NA,NA,NA,NA,NA,3,"2019-08_Ningaloo_stereo-BRUVs"
"39","10.04","82001015","Physical","Substrate","Unconsolidated (soft)","Sand / mud (<2mm)","Fine sand (no shell fragments)",NA,NA,NA,NA,NA,NA,14,"2019-08_Ningaloo_stereo-BRUVs"
"40","10.07","00000001","Biota","Unscorable",NA,NA,NA,NA,NA,NA,NA,NA,NA,18,"2019-08_Ningaloo_stereo-BRUVs"
"41","10.07","10000903","Biota","Sponges","Massive forms",NA,NA,NA,NA,NA,NA,NA,NA,1,"2019-08_Ningaloo_stereo-BRUVs"
"42","10.07","10000912","Biota","Sponges","Erect forms",NA,NA,NA,NA,NA,NA,NA,NA,4,"2019-08_Ningaloo_stereo-BRUVs"
"43","10.07","11001000","Biota","Cnidaria","Hydroids",NA,NA,NA,NA,NA,NA,NA,NA,1,"2019-08_Ningaloo_stereo-BRUVs"
"44","10.07","11168901","Biota","Cnidaria","Corals","Black & Octocorals",NA,NA,NA,NA,NA,NA,NA,3,"2019-08_Ningaloo_stereo-BRUVs"
"45","10.07","11168917","Biota","Cnidaria","Corals","Black & Octocorals","Whip",NA,NA,NA,NA,NA,NA,2,"2019-08_Ningaloo_stereo-BRUVs"
"46","10.07","82001015","Physical","Substrate","Unconsolidated (soft)","Sand / mud (<2mm)","Fine sand (no shell fragments)",NA,NA,NA,NA,NA,NA,11,"2019-08_Ningaloo_stereo-BRUVs"
"47","10.08","00000001","Biota","Unscorable",NA,NA,NA,NA,NA,NA,NA,NA,NA,18,"2019-08_Ningaloo_stereo-BRUVs"
"48","10.08","11001000","Biota","Cnidaria","Hydroids",NA,NA,NA,NA,NA,NA,NA,NA,1,"2019-08_Ningaloo_stereo-BRUVs"
"49","10.08","11168912","Biota","Cnidaria","Corals","Black & Octocorals","Fan (2D)",NA,NA,NA,NA,NA,NA,1,"2019-08_Ningaloo_stereo-BRUVs"
"50","10.08","11168917","Biota","Cnidaria","Corals","Black & Octocorals","Whip",NA,NA,NA,NA,NA,NA,1,"2019-08_Ningaloo_stereo-BRUVs"
"51","10.08","25001000","Biota","Echinoderms","Feather stars",NA,NA,NA,NA,NA,NA,NA,NA,1,"2019-08_Ningaloo_stereo-BRUVs"
"52","10.08","82001014","Physical","Substrate","Unconsolidated (soft)","Sand / mud (<2mm)","Coarse sand (with shell fragments)",NA,NA,NA,NA,NA,NA,18,"2019-08_Ningaloo_stereo-BRUVs"
"53","10.09","00000001","Biota","Unscorable",NA,NA,NA,NA,NA,NA,NA,NA,NA,19,"2019-08_Ningaloo_stereo-BRUVs"
"54","10.09","11168917","Biota","Cnidaria","Corals","Black & Octocorals","Whip",NA,NA,NA,NA,NA,NA,2,"2019-08_Ningaloo_stereo-BRUVs"
"55","10.09","82001015","Physical","Substrate","Unconsolidated (soft)","Sand / mud (<2mm)","Fine sand (no shell fragments)",NA,NA,NA,NA,NA,NA,19,"2019-08_Ningaloo_stereo-BRUVs"
"56","10.11","00000001","Biota","Unscorable",NA,NA,NA,NA,NA,NA,NA,NA,NA,21,"2019-08_Ningaloo_stereo-BRUVs"
"57","10.11","82001015","Physical","Substrate","Unconsolidated (soft)","Sand / mud (<2mm)","Fine sand (no shell fragments)",NA,NA,NA,NA,NA,NA,19,"2019-08_Ningaloo_stereo-BRUVs"
"58","10.12","00000001","Biota","Unscorable",NA,NA,NA,NA,NA,NA,NA,NA,NA,20,"2019-08_Ningaloo_stereo-BRUVs"
"59","10.12","10000903","Biota","Sponges","Massive forms",NA,NA,NA,NA,NA,NA,NA,NA,2,"2019-08_Ningaloo_stereo-BRUVs"
"60","10.12","11168902","Biota","Cnidaria","Corals","Black & Octocorals","Branching (3D)",NA,NA,NA,NA,NA,NA,1,"2019-08_Ningaloo_stereo-BRUVs"
"61","10.12","82001015","Physical","Substrate","Unconsolidated (soft)","Sand / mud (<2mm)","Fine sand (no shell fragments)",NA,NA,NA,NA,NA,NA,17,"2019-08_Ningaloo_stereo-BRUVs"
"62","10.13","00000001","Biota","Unscorable",NA,NA,NA,NA,NA,NA,NA,NA,NA,5,"2019-08_Ningaloo_stereo-BRUVs"
"63","10.13","10000903","Biota","Sponges","Massive forms",NA,NA,NA,NA,NA,NA,NA,NA,5,"2019-08_Ningaloo_stereo-BRUVs"
"64","10.13","11168902","Biota","Cnidaria","Corals","Black & Octocorals","Branching (3D)",NA,NA,NA,NA,NA,NA,1,"2019-08_Ningaloo_stereo-BRUVs"
"65","10.13","11168912","Biota","Cnidaria","Corals","Black & Octocorals","Fan (2D)",NA,NA,NA,NA,NA,NA,13,"2019-08_Ningaloo_stereo-BRUVs"
"66","10.13","11168917","Biota","Cnidaria","Corals","Black & Octocorals","Whip",NA,NA,NA,NA,NA,NA,1,"2019-08_Ningaloo_stereo-BRUVs"
"67","10.13","82001014","Physical","Substrate","Unconsolidated (soft)","Sand / mud (<2mm)","Coarse sand (with shell fragments)",NA,NA,NA,NA,NA,NA,15,"2019-08_Ningaloo_stereo-BRUVs"
"68","10.14","00000001","Biota","Unscorable",NA,NA,NA,NA,NA,NA,NA,NA,NA,14,"2019-08_Ningaloo_stereo-BRUVs"
"69","10.14","11168912","Biota","Cnidaria","Corals","Black & Octocorals","Fan (2D)",NA,NA,NA,NA,NA,NA,2,"2019-08_Ningaloo_stereo-BRUVs"
"70","10.14","11168917","Biota","Cnidaria","Corals","Black & Octocorals","Whip",NA,NA,NA,NA,NA,NA,5,"2019-08_Ningaloo_stereo-BRUVs"
"71","10.14","82001014","Physical","Substrate","Unconsolidated (soft)","Sand / mud (<2mm)","Coarse sand (with shell fragments)",NA,NA,NA,NA,NA,NA,19,"2019-08_Ningaloo_stereo-BRUVs"
"72","10.15","00000001","Biota","Unscorable",NA,NA,NA,NA,NA,NA,NA,NA,NA,14,"2019-08_Ningaloo_stereo-BRUVs"
"73","10.15","10000903","Biota","Sponges","Massive forms",NA,NA,NA,NA,NA,NA,NA,NA,5,"2019-08_Ningaloo_stereo-BRUVs"
"74","10.15","10000912","Biota","Sponges","Erect forms",NA,NA,NA,NA,NA,NA,NA,NA,2,"2019-08_Ningaloo_stereo-BRUVs"
"75","10.15","11168901","Biota","Cnidaria","Corals","Black & Octocorals",NA,NA,NA,NA,NA,NA,NA,1,"2019-08_Ningaloo_stereo-BRUVs"
"76","10.15","11168902","Biota","Cnidaria","Corals","Black & Octocorals","Branching (3D)",NA,NA,NA,NA,NA,NA,1,"2019-08_Ningaloo_stereo-BRUVs"
"77","10.15","11168912","Biota","Cnidaria","Corals","Black & Octocorals","Fan (2D)",NA,NA,NA,NA,NA,NA,1,"2019-08_Ningaloo_stereo-BRUVs"
"78","10.15","11168917","Biota","Cnidaria","Corals","Black & Octocorals","Whip",NA,NA,NA,NA,NA,NA,4,"2019-08_Ningaloo_stereo-BRUVs"
"79","10.15","82001014","Physical","Substrate","Unconsolidated (soft)","Sand / mud (<2mm)","Coarse sand (with shell fragments)",NA,NA,NA,NA,NA,NA,9,"2019-08_Ningaloo_stereo-BRUVs"
"80","10.15","82001015","Physical","Substrate","Unconsolidated (soft)","Sand / mud (<2mm)","Fine sand (no shell fragments)",NA,NA,NA,NA,NA,NA,3,"2019-08_Ningaloo_stereo-BRUVs"
"81","11.01","00000001","Biota","Unscorable",NA,NA,NA,NA,NA,NA,NA,NA,NA,15,"2019-08_Ningaloo_stereo-BRUVs"
"82","11.01","82001014","Physical","Substrate","Unconsolidated (soft)","Sand / mud (<2mm)","Coarse sand (with shell fragments)",NA,NA,NA,NA,NA,NA,25,"2019-08_Ningaloo_stereo-BRUVs"
"83","11.02","00000001","Biota","Unscorable",NA,NA,NA,NA,NA,NA,NA,NA,NA,16,"2019-08_Ningaloo_stereo-BRUVs"
"84","11.02","11168902","Biota","Cnidaria","Corals","Black & Octocorals","Branching (3D)",NA,NA,NA,NA,NA,NA,3,"2019-08_Ningaloo_stereo-BRUVs"
"85","11.02","11168917","Biota","Cnidaria","Corals","Black & Octocorals","Whip",NA,NA,NA,NA,NA,NA,1,"2019-08_Ningaloo_stereo-BRUVs"
"86","11.02","82001014","Physical","Substrate","Unconsolidated (soft)","Sand / mud (<2mm)","Coarse sand (with shell fragments)",NA,NA,NA,NA,NA,NA,20,"2019-08_Ningaloo_stereo-BRUVs"
"87","11.03","00000001","Biota","Unscorable",NA,NA,NA,NA,NA,NA,NA,NA,NA,20,"2019-08_Ningaloo_stereo-BRUVs"
"88","11.03","82001014","Physical","Substrate","Unconsolidated (soft)","Sand / mud (<2mm)","Coarse sand (with shell fragments)",NA,NA,NA,NA,NA,NA,10,"2019-08_Ningaloo_stereo-BRUVs"
"89","11.03","82001015","Physical","Substrate","Unconsolidated (soft)","Sand / mud (<2mm)","Fine sand (no shell fragments)",NA,NA,NA,NA,NA,NA,10,"2019-08_Ningaloo_stereo-BRUVs"
"90","11.04","00000001","Biota","Unscorable",NA,NA,NA,NA,NA,NA,NA,NA,NA,15,"2019-08_Ningaloo_stereo-BRUVs"
"91","11.04","82001014","Physical","Substrate","Unconsolidated (soft)","Sand / mud (<2mm)","Coarse sand (with shell fragments)",NA,NA,NA,NA,NA,NA,25,"2019-08_Ningaloo_stereo-BRUVs"
"92","11.05","00000001","Biota","Unscorable",NA,NA,NA,NA,NA,NA,NA,NA,NA,18,"2019-08_Ningaloo_stereo-BRUVs"
"93","11.05","82001014","Physical","Substrate","Unconsolidated (soft)","Sand / mud (<2mm)","Coarse sand (with shell fragments)",NA,NA,NA,NA,NA,NA,22,"2019-08_Ningaloo_stereo-BRUVs"
"94","11.06","00000001","Biota","Unscorable",NA,NA,NA,NA,NA,NA,NA,NA,NA,18,"2019-08_Ningaloo_stereo-BRUVs"
"95","11.06","10000912","Biota","Sponges","Erect forms",NA,NA,NA,NA,NA,NA,NA,NA,1,"2019-08_Ningaloo_stereo-BRUVs"
"96","11.06","11168901","Biota","Cnidaria","Corals","Black & Octocorals",NA,NA,NA,NA,NA,NA,NA,1,"2019-08_Ningaloo_stereo-BRUVs"
"97","11.06","82001014","Physical","Substrate","Unconsolidated (soft)","Sand / mud (<2mm)","Coarse sand (with shell fragments)",NA,NA,NA,NA,NA,NA,20,"2019-08_Ningaloo_stereo-BRUVs"
"98","12.02","00000001","Biota","Unscorable",NA,NA,NA,NA,NA,NA,NA,NA,NA,13,"2019-08_Ningaloo_stereo-BRUVs"
"99","12.02","10000912","Biota","Sponges","Erect forms",NA,NA,NA,NA,NA,NA,NA,NA,7,"2019-08_Ningaloo_stereo-BRUVs"
"100","12.02","11168902","Biota","Cnidaria","Corals","Black & Octocorals","Branching (3D)",NA,NA,NA,NA,NA,NA,1,"2019-08_Ningaloo_stereo-BRUVs"
"101","12.02","82001014","Physical","Substrate","Unconsolidated (soft)","Sand / mud (<2mm)","Coarse sand (with shell fragments)",NA,NA,NA,NA,NA,NA,19,"2019-08_Ningaloo_stereo-BRUVs"
"102","12.03","00000001","Biota","Unscorable",NA,NA,NA,NA,NA,NA,NA,NA,NA,20,"2019-08_Ningaloo_stereo-BRUVs"
"103","12.03","82001014","Physical","Substrate","Unconsolidated (soft)","Sand / mud (<2mm)","Coarse sand (with shell fragments)",NA,NA,NA,NA,NA,NA,20,"2019-08_Ningaloo_stereo-BRUVs"
"104","12.04","00000001","Biota","Unscorable",NA,NA,NA,NA,NA,NA,NA,NA,NA,15,"2019-08_Ningaloo_stereo-BRUVs"
"105","12.04","82001014","Physical","Substrate","Unconsolidated (soft)","Sand / mud (<2mm)","Coarse sand (with shell fragments)",NA,NA,NA,NA,NA,NA,25,"2019-08_Ningaloo_stereo-BRUVs"
"106","12.05","00000001","Biota","Unscorable",NA,NA,NA,NA,NA,NA,NA,NA,NA,15,"2019-08_Ningaloo_stereo-BRUVs"
"107","12.05","82001014","Physical","Substrate","Unconsolidated (soft)","Sand / mud (<2mm)","Coarse sand (with shell fragments)",NA,NA,NA,NA,NA,NA,25,"2019-08_Ningaloo_stereo-BRUVs"
"108","12.06","00000001","Biota","Unscorable",NA,NA,NA,NA,NA,NA,NA,NA,NA,18,"2019-08_Ningaloo_stereo-BRUVs"
"109","12.06","82001014","Physical","Substrate","Unconsolidated (soft)","Sand / mud (<2mm)","Coarse sand (with shell fragments)",NA,NA,NA,NA,NA,NA,22,"2019-08_Ningaloo_stereo-BRUVs"
"110","12.11","00000001","Biota","Unscorable",NA,NA,NA,NA,NA,NA,NA,NA,NA,18,"2019-08_Ningaloo_stereo-BRUVs"
"111","12.11","10000909","Biota","Sponges","Cup-likes",NA,NA,NA,NA,NA,NA,NA,NA,1,"2019-08_Ningaloo_stereo-BRUVs"
"112","12.11","10000912","Biota","Sponges","Erect forms",NA,NA,NA,NA,NA,NA,NA,NA,2,"2019-08_Ningaloo_stereo-BRUVs"
"113","12.11","11168917","Biota","Cnidaria","Corals","Black & Octocorals","Whip",NA,NA,NA,NA,NA,NA,1,"2019-08_Ningaloo_stereo-BRUVs"
"114","12.11","82001014","Physical","Substrate","Unconsolidated (soft)","Sand / mud (<2mm)","Coarse sand (with shell fragments)",NA,NA,NA,NA,NA,NA,10,"2019-08_Ningaloo_stereo-BRUVs"
"115","12.11","82001015","Physical","Substrate","Unconsolidated (soft)","Sand / mud (<2mm)","Fine sand (no shell fragments)",NA,NA,NA,NA,NA,NA,8,"2019-08_Ningaloo_stereo-BRUVs"
"116","13.02","00000001","Biota","Unscorable",NA,NA,NA,NA,NA,NA,NA,NA,NA,14,"2019-08_Ningaloo_stereo-BRUVs"
"117","13.02","82001015","Physical","Substrate","Unconsolidated (soft)","Sand / mud (<2mm)","Fine sand (no shell fragments)",NA,NA,NA,NA,NA,NA,26,"2019-08_Ningaloo_stereo-BRUVs"
"118","13.03","00000001","Biota","Unscorable",NA,NA,NA,NA,NA,NA,NA,NA,NA,18,"2019-08_Ningaloo_stereo-BRUVs"
"119","13.03","82001015","Physical","Substrate","Unconsolidated (soft)","Sand / mud (<2mm)","Fine sand (no shell fragments)",NA,NA,NA,NA,NA,NA,22,"2019-08_Ningaloo_stereo-BRUVs"
"120","13.04","00000001","Biota","Unscorable",NA,NA,NA,NA,NA,NA,NA,NA,NA,15,"2019-08_Ningaloo_stereo-BRUVs"
"121","13.04","82001015","Physical","Substrate","Unconsolidated (soft)","Sand / mud (<2mm)","Fine sand (no shell fragments)",NA,NA,NA,NA,NA,NA,25,"2019-08_Ningaloo_stereo-BRUVs"
"122","13.05","00000001","Biota","Unscorable",NA,NA,NA,NA,NA,NA,NA,NA,NA,19,"2019-08_Ningaloo_stereo-BRUVs"
"123","13.05","82001014","Physical","Substrate","Unconsolidated (soft)","Sand / mud (<2mm)","Coarse sand (with shell fragments)",NA,NA,NA,NA,NA,NA,11,"2019-08_Ningaloo_stereo-BRUVs"
"124","13.05","82001015","Physical","Substrate","Unconsolidated (soft)","Sand / mud (<2mm)","Fine sand (no shell fragments)",NA,NA,NA,NA,NA,NA,10,"2019-08_Ningaloo_stereo-BRUVs"
"125","13.06","00000001","Biota","Unscorable",NA,NA,NA,NA,NA,NA,NA,NA,NA,20,"2019-08_Ningaloo_stereo-BRUVs"
"126","13.06","82001014","Physical","Substrate","Unconsolidated (soft)","Sand / mud (<2mm)","Coarse sand (with shell fragments)",NA,NA,NA,NA,NA,NA,10,"2019-08_Ningaloo_stereo-BRUVs"
"127","13.06","82001015","Physical","Substrate","Unconsolidated (soft)","Sand / mud (<2mm)","Fine sand (no shell fragments)",NA,NA,NA,NA,NA,NA,10,"2019-08_Ningaloo_stereo-BRUVs"
"128","13.08","00000001","Biota","Unscorable",NA,NA,NA,NA,NA,NA,NA,NA,NA,20,"2019-08_Ningaloo_stereo-BRUVs"
"129","13.08","82001014","Physical","Substrate","Unconsolidated (soft)","Sand / mud (<2mm)","Coarse sand (with shell fragments)",NA,NA,NA,NA,NA,NA,10,"2019-08_Ningaloo_stereo-BRUVs"
"130","13.08","82001015","Physical","Substrate","Unconsolidated (soft)","Sand / mud (<2mm)","Fine sand (no shell fragments)",NA,NA,NA,NA,NA,NA,10,"2019-08_Ningaloo_stereo-BRUVs"
"131","14.01","00000001","Biota","Unscorable",NA,NA,NA,NA,NA,NA,NA,NA,NA,15,"2019-08_Ningaloo_stereo-BRUVs"
"132","14.01","10000903","Biota","Sponges","Massive forms",NA,NA,NA,NA,NA,NA,NA,NA,3,"2019-08_Ningaloo_stereo-BRUVs"
"133","14.01","10000912","Biota","Sponges","Erect forms",NA,NA,NA,NA,NA,NA,NA,NA,2,"2019-08_Ningaloo_stereo-BRUVs"
"134","14.01","82001014","Physical","Substrate","Unconsolidated (soft)","Sand / mud (<2mm)","Coarse sand (with shell fragments)",NA,NA,NA,NA,NA,NA,20,"2019-08_Ningaloo_stereo-BRUVs"
"135","14.02","00000001","Biota","Unscorable",NA,NA,NA,NA,NA,NA,NA,NA,NA,20,"2019-08_Ningaloo_stereo-BRUVs"
"136","14.02","82001014","Physical","Substrate","Unconsolidated (soft)","Sand / mud (<2mm)","Coarse sand (with shell fragments)",NA,NA,NA,NA,NA,NA,20,"2019-08_Ningaloo_stereo-BRUVs"
"137","14.03","00000001","Biota","Unscorable",NA,NA,NA,NA,NA,NA,NA,NA,NA,18,"2019-08_Ningaloo_stereo-BRUVs"
"138","14.03","10000912","Biota","Sponges","Erect forms",NA,NA,NA,NA,NA,NA,NA,NA,2,"2019-08_Ningaloo_stereo-BRUVs"
"139","14.03","82001014","Physical","Substrate","Unconsolidated (soft)","Sand / mud (<2mm)","Coarse sand (with shell fragments)",NA,NA,NA,NA,NA,NA,20,"2019-08_Ningaloo_stereo-BRUVs"
"140","14.06","00000001","Biota","Unscorable",NA,NA,NA,NA,NA,NA,NA,NA,NA,17,"2019-08_Ningaloo_stereo-BRUVs"
"141","14.06","82001014","Physical","Substrate","Unconsolidated (soft)","Sand / mud (<2mm)","Coarse sand (with shell fragments)",NA,NA,NA,NA,NA,NA,23,"2019-08_Ningaloo_stereo-BRUVs"
"142","14.11","00000001","Biota","Unscorable",NA,NA,NA,NA,NA,NA,NA,NA,NA,15,"2019-08_Ningaloo_stereo-BRUVs"
"143","14.11","82001014","Physical","Substrate","Unconsolidated (soft)","Sand / mud (<2mm)","Coarse sand (with shell fragments)",NA,NA,NA,NA,NA,NA,25,"2019-08_Ningaloo_stereo-BRUVs"
"144","14.12","00000001","Biota","Unscorable",NA,NA,NA,NA,NA,NA,NA,NA,NA,15,"2019-08_Ningaloo_stereo-BRUVs"
"145","14.12","82001014","Physical","Substrate","Unconsolidated (soft)","Sand / mud (<2mm)","Coarse sand (with shell fragments)",NA,NA,NA,NA,NA,NA,25,"2019-08_Ningaloo_stereo-BRUVs"
"146","14.13","00000001","Biota","Unscorable",NA,NA,NA,NA,NA,NA,NA,NA,NA,18,"2019-08_Ningaloo_stereo-BRUVs"
"147","14.13","82001014","Physical","Substrate","Unconsolidated (soft)","Sand / mud (<2mm)","Coarse sand (with shell fragments)",NA,NA,NA,NA,NA,NA,1,"2019-08_Ningaloo_stereo-BRUVs"
"148","14.13","82001015","Physical","Substrate","Unconsolidated (soft)","Sand / mud (<2mm)","Fine sand (no shell fragments)",NA,NA,NA,NA,NA,NA,21,"2019-08_Ningaloo_stereo-BRUVs"
"149","15.01","00000001","Biota","Unscorable",NA,NA,NA,NA,NA,NA,NA,NA,NA,18,"2019-08_Ningaloo_stereo-BRUVs"
"150","15.01","82001015","Physical","Substrate","Unconsolidated (soft)","Sand / mud (<2mm)","Fine sand (no shell fragments)",NA,NA,NA,NA,NA,NA,22,"2019-08_Ningaloo_stereo-BRUVs"
"151","15.02","00000001","Biota","Unscorable",NA,NA,NA,NA,NA,NA,NA,NA,NA,18,"2019-08_Ningaloo_stereo-BRUVs"
"152","15.02","10000912","Biota","Sponges","Erect forms",NA,NA,NA,NA,NA,NA,NA,NA,1,"2019-08_Ningaloo_stereo-BRUVs"
"153","15.02","82001015","Physical","Substrate","Unconsolidated (soft)","Sand / mud (<2mm)","Fine sand (no shell fragments)",NA,NA,NA,NA,NA,NA,21,"2019-08_Ningaloo_stereo-BRUVs"
"154","15.05","00000001","Biota","Unscorable",NA,NA,NA,NA,NA,NA,NA,NA,NA,14,"2019-08_Ningaloo_stereo-BRUVs"
"155","15.05","11168912","Biota","Cnidaria","Corals","Black & Octocorals","Fan (2D)",NA,NA,NA,NA,NA,NA,1,"2019-08_Ningaloo_stereo-BRUVs"
"156","15.05","11168917","Biota","Cnidaria","Corals","Black & Octocorals","Whip",NA,NA,NA,NA,NA,NA,1,"2019-08_Ningaloo_stereo-BRUVs"
"157","15.05","82001014","Physical","Substrate","Unconsolidated (soft)","Sand / mud (<2mm)","Coarse sand (with shell fragments)",NA,NA,NA,NA,NA,NA,1,"2019-08_Ningaloo_stereo-BRUVs"
"158","15.05","82001015","Physical","Substrate","Unconsolidated (soft)","Sand / mud (<2mm)","Fine sand (no shell fragments)",NA,NA,NA,NA,NA,NA,23,"2019-08_Ningaloo_stereo-BRUVs"
"159","15.07","00000001","Biota","Unscorable",NA,NA,NA,NA,NA,NA,NA,NA,NA,20,"2019-08_Ningaloo_stereo-BRUVs"
