"campaignid","sample","family","genus","species","length","number","range","mass.kg","code"
"2020-10_south-west_stereo-BRUVs","IO59","Monacanthidae","Nelusetta","ayraud",527.72484,1,1504.66414,1.32457841191588,"37465006"
"2020-10_south-west_stereo-BRUVs","IO59","Monacanthidae","Nelusetta","ayraud",597.63115,1,1114.20037,1.87837287156468,"37465006"
"2020-10_south-west_stereo-BRUVs","IO59","Monacanthidae","Nelusetta","ayraud",537.91877,1,1475.64367,1.3976865919142,"37465006"
"2020-10_south-west_stereo-BRUVs","IO59","Monacanthidae","Nelusetta","ayraud",521.52369,1,2365.36164,1.28133537341766,"37465006"
"2020-10_south-west_stereo-BRUVs","IO59","Monacanthidae","Nelusetta","ayraud",545.81719,1,1324.6323,1.45608213206652,"37465006"
"2020-10_south-west_stereo-BRUVs","IO59","Monacanthidae","Nelusetta","ayraud",598.61331,1,1384.68721,1.88705393530538,"37465006"
"2020-10_south-west_stereo-BRUVs","IO59","Triakidae","Galeorhinus","galeus",870.65669,1,2556.80832,3.35891220897544,"37017008"
"2020-10_south-west_stereo-BRUVs","IO62","Carangidae","Pseudocaranx","spp",302.69469,1,4367.7533,0.464653053945116,NA
"2020-10_south-west_stereo-BRUVs","IO62","Carangidae","Pseudocaranx","spp",287.59536,1,4065.25581,0.399573522137342,NA
"2020-10_south-west_stereo-BRUVs","IO62","Monacanthidae","Nelusetta","ayraud",627.0336,1,3278.90602,2.14956168827995,"37465006"
"2020-10_south-west_stereo-BRUVs","IO62","Monacanthidae","Nelusetta","ayraud",585.36244,1,1686.22256,1.77209211974675,"37465006"
"2020-10_south-west_stereo-BRUVs","IO62","Monacanthidae","Nelusetta","ayraud",684.72199,1,1584.11854,2.75220889900991,"37465006"
"2020-10_south-west_stereo-BRUVs","IO62","Oplegnathidae","Oplegnathus","woodwardi",379.82841,1,1191.87196,1.13370773834968,"37369002"
"2020-10_south-west_stereo-BRUVs","IO62","Oplegnathidae","Oplegnathus","woodwardi",449.31133,1,1795.00909,1.87979497317767,"37369002"
"2020-10_south-west_stereo-BRUVs","IO62","Pinguipedidae","Parapercis","ramsayi",91.36437,1,1315.5535,0.00614668271785793,"37390002"
"2020-10_south-west_stereo-BRUVs","IO62","Pinguipedidae","Parapercis","ramsayi",72.87659,1,1774.01778,0.00304968828767955,"37390002"
"2020-10_south-west_stereo-BRUVs","IO64","Cheilodactylidae","Nemadactylus","valenciennesi",234.9879,1,2387.89317,0.22586960337587,"37377004"
"2020-10_south-west_stereo-BRUVs","IO64","Heterodontidae","Heterodontus","portusjacksoni",498.98605,1,3720.0387,1.07068482758246,"37007001"
"2020-10_south-west_stereo-BRUVs","IO64","Labridae","Coris","auricularis",178.34816,1,3330.19653,0.0674344806888016,"37384088"
"2020-10_south-west_stereo-BRUVs","IO64","Labridae","Coris","auricularis",160.58464,1,5407.33665,0.0489163729487442,"37384088"
"2020-10_south-west_stereo-BRUVs","IO64","Labridae","Coris","auricularis",131.7772,1,3310.13876,0.0267122974945593,"37384088"
"2020-10_south-west_stereo-BRUVs","IO64","Labridae","Coris","auricularis",161.24263,1,3789.64365,0.0495322905884823,"37384088"
"2020-10_south-west_stereo-BRUVs","IO64","Labridae","Coris","auricularis",199.15021,1,3730.14436,0.0945133489848563,"37384088"
"2020-10_south-west_stereo-BRUVs","IO64","Labridae","Coris","auricularis",150.37031,1,2951.41636,0.0400051599241261,"37384088"
"2020-10_south-west_stereo-BRUVs","IO64","Labridae","Coris","auricularis",171.10503,1,5908.29528,0.0593996788385486,"37384088"
"2020-10_south-west_stereo-BRUVs","IO64","Labridae","Coris","auricularis",159.77518,1,4416.8379,0.0481657697660633,"37384088"
