"campaignid","sample","latitude","longitude","date.time","site","location","status","depth","successful.count","successful.length","observer.count","observer.length"
"2014-12_Geographe.Bay_stereoBRUVs","22",-33.5746,115.1807,2014-12-08 23:10:00,"Geographe Bay","Geographe Bay","Fished",22.6,"Yes","Yes","test video","Molly"
"2014-12_Geographe.Bay_stereoBRUVs","23",-33.5042,115.4289,2014-12-16 03:29:00,"Geographe Bay","Geographe Bay","Fished",13.6,"Yes","Yes","Hayley","Molly"
"2014-12_Geographe.Bay_stereoBRUVs","24",-33.4712,115.2862,2014-12-08 22:05:00,"Geographe Bay","Geographe Bay","Fished",29.2,"Yes","Yes","Hayley","Molly"
"2014-12_Geographe.Bay_stereoBRUVs","25",-33.3833,115.0828,2014-12-09 23:10:00,"Geographe Bay","Geographe Bay","Fished",42.5,"Yes","Yes","Hayley","Molly"
"2014-12_Geographe.Bay_stereoBRUVs","26",-33.55,115.3236,2014-12-12 03:02:00,"Geographe Bay","Geographe Bay","Fished",20.5,"Yes","Yes","Hayley","Molly"
"2014-12_Geographe.Bay_stereoBRUVs","27",-33.5464,115.1884,2014-12-08 23:00:00,"Geographe Bay","Geographe Bay","Fished",28.2,"Yes","Yes","Hayley","Molly"
"2014-12_Geographe.Bay_stereoBRUVs","28",-33.4272,115.2873,2014-12-10 23:07:00,"Geographe Bay","Geographe Bay","Fished",34,"Yes","Yes","Hayley","Molly"
"2014-12_Geographe.Bay_stereoBRUVs","29",-33.487,115.1764,2014-12-09 02:30:00,"Geographe Bay","Geographe Bay","Fished",34.3,"Yes","Yes","Hayley","Molly"
"2014-12_Geographe.Bay_stereoBRUVs","30",-33.4241,115.3341,2014-12-10 22:37:00,"Geographe Bay","Geographe Bay","Fished",31.8,"Yes","Yes","Hayley","Molly"
"2014-12_Geographe.Bay_stereoBRUVs","31",-33.5986,115.2369,2014-12-11 21:55:00,"Geographe Bay","Geographe Bay","Fished",26.3,"Yes","Yes","Logan","Molly"
"2014-12_Geographe.Bay_stereoBRUVs","32",-33.4808,115.4621,2014-12-12 23:53:00,"Geographe Bay","Geographe Bay","Fished",14.1,"Yes","Yes","Hayley","Molly"
"2014-12_Geographe.Bay_stereoBRUVs","33",-33.3528,115.3205,2014-12-11 00:54:00,"Geographe Bay","Geographe Bay","Fished",34.1,"Yes","No","Molly",NA
"2014-12_Geographe.Bay_stereoBRUVs","34",-33.3845,115.0739,2014-12-09 23:05:00,"Geographe Bay","Geographe Bay","Fished",43,"Yes","No","Curtin",NA
"2014-12_Geographe.Bay_stereoBRUVs","35",-33.4055,115.4157,2014-12-13 03:14:00,"Geographe Bay","Geographe Bay","Fished",27.9,"Yes","Yes","Logan","Molly"
"2014-12_Geographe.Bay_stereoBRUVs","36",-33.4269,115.2077,2014-12-10 03:17:00,"Geographe Bay","Geographe Bay","Fished",38.2,"Yes","Yes","Hayley","Molly"
"2014-12_Geographe.Bay_stereoBRUVs","37",-33.3585,115.3721,2014-12-11 01:11:00,"Geographe Bay","Geographe Bay","Fished",30.3,"Yes","Yes","Hayley","Molly"
"2014-12_Geographe.Bay_stereoBRUVs","38",-33.5037,115.1274,2014-12-09 04:45:00,"Geographe Bay","Geographe Bay","Fished",34.5,"Yes","Yes","Hayley","Molly"
"2014-12_Geographe.Bay_stereoBRUVs","39",-33.465,115.4329,2014-12-11 05:20:00,"Geographe Bay","Geographe Bay","Fished",19.8,"Yes","Yes","Hayley","Molly"
"2014-12_Geographe.Bay_stereoBRUVs","40",-33.472,115.2287,2014-12-09 01:57:00,"Geographe Bay","Geographe Bay","Fished",33.7,"Yes","Yes","Hayley","Molly"
"2014-12_Geographe.Bay_stereoBRUVs","41",-33.3679,115.0986,2014-12-09 23:35:00,"Geographe Bay","Geographe Bay","Fished",42.5,"Yes","Yes","Hayley","Molly"
"2014-12_Geographe.Bay_stereoBRUVs","42",-33.5425,115.3862,2014-12-12 05:13:00,"Geographe Bay","Geographe Bay","No-take",13,"Yes","No","Logan","Molly"
"2014-12_Geographe.Bay_stereoBRUVs","44",-33.3984,115.3097,2014-12-10 22:54:00,"Geographe Bay","Geographe Bay","Fished",34.4,"Yes","Yes","Hayley","Molly"
"2014-12_Geographe.Bay_stereoBRUVs","45",-33.4446,115.1317,2014-12-09 05:28:00,"Geographe Bay","Geographe Bay","Fished",41.1,"Yes","Yes","Hayley","Molly"
"2014-12_Geographe.Bay_stereoBRUVs","47",-33.5485,115.2878,2014-12-12 02:29:00,"Geographe Bay","Geographe Bay","Fished",24.3,"Yes","Yes","Hayley","Molly"
"2014-12_Geographe.Bay_stereoBRUVs","48",-33.4028,115.5134,2014-12-11 04:31:00,"Geographe Bay","Geographe Bay","Fished",17.2,"Yes","Yes","Hayley","Molly"
"2014-12_Geographe.Bay_stereoBRUVs","49",-33.3809,115.2721,2014-12-10 05:51:00,"Geographe Bay","Geographe Bay","Fished",37.7,"Yes","Yes","Hayley","Molly"
"2014-12_Geographe.Bay_stereoBRUVs","50",-33.4108,115.1742,2014-12-10 02:29:00,"Geographe Bay","Geographe Bay","Fished",40.5,"Yes","No","Curtin",NA
"2014-12_Geographe.Bay_stereoBRUVs","51",-33.4316,115.4137,2014-12-13 02:52:00,"Geographe Bay","Geographe Bay","Fished",25.4,"Yes","No","Unknown",NA
"2014-12_Geographe.Bay_stereoBRUVs","52",-33.4927,115.2982,2014-12-08 22:14:00,"Geographe Bay","Geographe Bay","Fished",29.7,"Yes","No","Curtin",NA
"2014-12_Geographe.Bay_stereoBRUVs","53",-33.3582,115.3565,2014-12-11 01:04:00,"Geographe Bay","Geographe Bay","Fished",31.4,"Yes","Yes","Hayley","Molly"
"2014-12_Geographe.Bay_stereoBRUVs","54",-33.5131,115.1532,2014-12-09 02:47:00,"Geographe Bay","Geographe Bay","Fished",33.1,"Yes","Yes","Hayley","Molly"
"2014-12_Geographe.Bay_stereoBRUVs","55",-33.5709,115.2801,2014-12-12 01:05:00,"Geographe Bay","Geographe Bay","Fished",22.2,"Yes","No","Hayley","Molly"
"2014-12_Geographe.Bay_stereoBRUVs","56",-33.4953,115.2224,2014-12-09 01:49:00,"Geographe Bay","Geographe Bay","Fished",32,"Yes","No","Curtin",NA
"2014-12_Geographe.Bay_stereoBRUVs","58",-33.5697,115.3796,2014-12-12 05:02:00,"Geographe Bay","Geographe Bay","No-take",13.5,"Yes","Yes","Hayley","Molly"
"2014-12_Geographe.Bay_stereoBRUVs","60",-33.3626,115.5049,2014-12-11 01:55:00,"Geographe Bay","Geographe Bay","Fished",21.5,"Yes","Yes","Hayley","Molly"
"2014-12_Geographe.Bay_stereoBRUVs","61",-33.4993,115.1345,2014-12-09 04:50:00,"Geographe Bay","Geographe Bay","Fished",34.8,"Yes","Yes","Hayley","Molly"
"2014-12_Geographe.Bay_stereoBRUVs","62",-33.4505,115.3307,2014-12-10 22:24:00,"Geographe Bay","Geographe Bay","Fished",29.3,"Yes","Yes","Hayley","Molly"
"2014-12_Geographe.Bay_stereoBRUVs","63",-33.5039,115.2562,2014-12-08 22:29:00,"Geographe Bay","Geographe Bay","Fished",30,"Yes","Yes","Hayley","Molly"
"2014-12_Geographe.Bay_stereoBRUVs","64",-33.4364,115.5095,2014-12-11 04:54:00,"Geographe Bay","Geographe Bay","Fished",14.2,"Yes","Yes","Hayley","Molly"
"2014-12_Geographe.Bay_stereoBRUVs","65",-33.3597,115.2048,2014-12-10 05:15:00,"Geographe Bay","Geographe Bay","Fished",39.4,"Yes","Yes","Hayley","Molly"
"2014-12_Geographe.Bay_stereoBRUVs","67",-33.4783,115.0859,2014-12-13 02:10:00,"Geographe Bay","Geographe Bay","Fished",21.4,"Yes","Yes","Hayley","Molly"
"2014-12_Geographe.Bay_stereoBRUVs","68",-33.3882,115.2426,2014-12-10 06:07:00,"Geographe Bay","Geographe Bay","Fished",38.9,"Yes","No","Molly",NA
"2014-12_Geographe.Bay_stereoBRUVs","69",-33.3534,115.404,2014-12-11 01:23:00,"Geographe Bay","Geographe Bay","Fished",28.7,"Yes","Yes","Hayley","Molly"
"2014-12_Geographe.Bay_stereoBRUVs","70",-33.4159,115.1514,2014-12-10 02:46:00,"Geographe Bay","Geographe Bay","Fished",41,"Yes","Yes","Hayley","Molly"
"2014-12_Geographe.Bay_stereoBRUVs","71",-33.4271,115.4287,2014-12-13 02:58:00,"Geographe Bay","Geographe Bay","Fished",24.4,"Yes","Yes","Logan","Molly"
"2014-12_Geographe.Bay_stereoBRUVs","72",-33.4625,115.3224,2014-12-10 22:07:00,"Geographe Bay","Geographe Bay","Fished",29.4,"Yes","Yes","Hayley","Molly"
"2014-12_Geographe.Bay_stereoBRUVs","73",-33.3718,115.1456,2014-12-10 02:10:00,"Geographe Bay","Geographe Bay","Fished",41.5,"Yes","Yes","Hayley","Molly"
"2014-12_Geographe.Bay_stereoBRUVs","75",-33.5893,115.2946,2014-12-12 00:52:00,"Geographe Bay","Geographe Bay","Fished",16.6,"Yes","No","Hayley","Molly"
"2014-12_Geographe.Bay_stereoBRUVs","76",-33.413,115.2847,2014-12-10 23:01:00,"Geographe Bay","Geographe Bay","Fished",35.2,"Yes","Yes","Hayley","Molly"
"2014-12_Geographe.Bay_stereoBRUVs","77",-33.4558,115.1029,2014-12-09 05:50:00,"Geographe Bay","Geographe Bay","Fished",40.8,"Yes","Yes","Hayley","Molly"
"2014-12_Geographe.Bay_stereoBRUVs","78",-33.5076,115.4438,2014-12-12 22:18:00,"Geographe Bay","Geographe Bay","Fished",13.4,"Yes","Yes","Logan","Molly"
"2014-12_Geographe.Bay_stereoBRUVs","79",-33.5874,115.2309,2014-12-12 00:16:00,"Geographe Bay","Geographe Bay","Fished",18.5,"Yes","Yes","Hayley","Molly"
"2014-12_Geographe.Bay_stereoBRUVs","81",-33.3788,115.2305,2014-12-10 06:18:00,"Geographe Bay","Geographe Bay","Fished",38.9,"Yes","Yes","Hayley","Molly"
"2014-12_Geographe.Bay_stereoBRUVs","82",-33.3955,115.1103,2014-12-09 23:49:00,"Geographe Bay","Geographe Bay","Fished",42.6,"Yes","Yes","Hayley","Molly"
"2014-12_Geographe.Bay_stereoBRUVs","83",-33.4694,115.3791,2014-12-13 02:26:00,"Geographe Bay","Geographe Bay","Fished",24.6,"Yes","No","Logan","Molly"
"2014-12_Geographe.Bay_stereoBRUVs","84",-33.3965,115.1924,2014-12-10 03:28:00,"Geographe Bay","Geographe Bay","Fished",41,"Yes","Yes","Hayley","Molly"
"2014-12_Geographe.Bay_stereoBRUVs","86",-33.5405,115.1785,2014-12-08 23:24:00,"Geographe Bay","Geographe Bay","Fished",28.6,"Yes","Yes","Hayley","Molly"
"2014-12_Geographe.Bay_stereoBRUVs","87",-33.4896,115.4589,2014-12-12 23:49:00,"Geographe Bay","Geographe Bay","Fished",13,"Yes","Yes","Hayley","Molly"
"2014-12_Geographe.Bay_stereoBRUVs","88",-33.5011,115.2145,2014-12-09 01:45:00,"Geographe Bay","Geographe Bay","Fished",31.4,"Yes","Yes","Hayley","Molly"
"2014-12_Geographe.Bay_stereoBRUVs","89",-33.3828,115.0564,2014-12-09 22:58:00,"Geographe Bay","Geographe Bay","Fished",43.9,"Yes","Yes","Molly","Molly"
"2014-12_Geographe.Bay_stereoBRUVs","90",-33.5333,115.3225,2014-12-12 02:53:00,"Geographe Bay","Geographe Bay","Fished",22,"Yes","No","Hayley","Molly"
"2014-12_Geographe.Bay_stereoBRUVs","91",-33.5396,115.2061,2014-12-08 22:54:00,"Geographe Bay","Geographe Bay","Fished",29.8,"Yes","Yes","Hayley","Molly"
"2014-12_Geographe.Bay_stereoBRUVs","92",-33.4176,115.315,2014-12-10 22:43:00,"Geographe Bay","Geographe Bay","Fished",33,"Yes","Yes","Hayley","Molly"
"2014-12_Geographe.Bay_stereoBRUVs","93",-33.4813,115.1528,2014-12-09 04:59:00,"Geographe Bay","Geographe Bay","Fished",36,"Yes","No","Curtin",NA
"2014-12_Geographe.Bay_stereoBRUVs","95",-33.5175,115.3155,2014-12-12 02:42:00,"Geographe Bay","Geographe Bay","Fished",24.9,"Yes","Yes","Hayley","Molly"
"2014-12_Geographe.Bay_stereoBRUVs","96",-33.4489,115.4808,2014-12-11 05:04:00,"Geographe Bay","Geographe Bay","Fished",15.9,"Yes","No","Hayley","Molly"
"2014-12_Geographe.Bay_stereoBRUVs","97",-33.3847,115.2927,2014-12-11 00:43:00,"Geographe Bay","Geographe Bay","Fished",35.6,"Yes","Yes","Hayley","Molly"
"2014-12_Geographe.Bay_stereoBRUVs","98",-33.434,115.1727,2014-12-10 02:56:00,"Geographe Bay","Geographe Bay","Fished",38,"Yes","No","Curtin",NA
"2014-12_Geographe.Bay_stereoBRUVs","100",-33.4325,115.2142,2014-12-10 03:14:00,"Geographe Bay","Geographe Bay","Fished",36.7,"Yes","No","Molly",NA
"2014-12_Geographe.Bay_stereoBRUVs","102",-33.5185,115.1196,2014-12-09 04:39:00,"Geographe Bay","Geographe Bay","Fished",34.4,"Yes","Yes","Hayley","Molly"
"2014-12_Geographe.Bay_stereoBRUVs","103",-33.4581,115.4547,2014-12-11 05:12:00,"Geographe Bay","Geographe Bay","Fished",18.4,"Yes","Yes","Hayley","Molly"
"2014-12_Geographe.Bay_stereoBRUVs","104",-33.4597,115.2451,2014-12-09 02:04:00,"Geographe Bay","Geographe Bay","Fished",33.3,"Yes","No","Molly","N/A"
"2014-12_Geographe.Bay_stereoBRUVs","107",-33.5833,115.1881,2014-12-09 01:25:00,"Geographe Bay","Geographe Bay","Fished",29.3,"Yes","No","Molly",NA
"2014-12_Geographe.Bay_stereoBRUVs","108",-33.4691,115.1677,2014-12-10 22:47:00,"Geographe Bay","Geographe Bay","Fished",34,"Yes","Yes","Logan","Molly"
"2014-12_Geographe.Bay_stereoBRUVs","111",-33.5369,115.3219,2014-12-12 02:55:00,"Geographe Bay","Geographe Bay","Fished",21.9,"Yes","Yes","Logan","Molly"
"2014-12_Geographe.Bay_stereoBRUVs","112",-33.4052,115.5224,2014-12-11 04:35:00,"Geographe Bay","Geographe Bay","Fished",14.8,"Yes","Yes","Hayley","Molly"
"2014-12_Geographe.Bay_stereoBRUVs","113",-33.3658,115.2779,2014-12-10 05:45:00,"Geographe Bay","Geographe Bay","Fished",36.6,"Yes","Yes","Curtin","Curtin"
"2014-12_Geographe.Bay_stereoBRUVs","114",-33.3984,115.1639,2014-12-10 02:20:00,"Geographe Bay","Geographe Bay","Fished",39.7,"Yes","No","Curtin","N/A"
"2014-12_Geographe.Bay_stereoBRUVs","115",-33.4446,115.4065,2014-12-13 02:46:00,"Geographe Bay","Geographe Bay","Fished",25.2,"Yes","Yes","Logan","Molly"
"2014-12_Geographe.Bay_stereoBRUVs","116",-33.4982,115.2864,2014-12-08 22:20:00,"Geographe Bay","Geographe Bay","Fished",29.7,"Yes","Yes","Hayley","Molly"
"2014-12_Geographe.Bay_stereoBRUVs","119",-33.4388,115.5567,2014-12-14 03:25:00,"Geographe Bay","Geographe Bay","Fished",5.2,"Yes","No","Curtin",NA
"2014-12_Geographe.Bay_stereoBRUVs","122",-33.5375,115.4021,2014-12-12 21:48:00,"Geographe Bay","Geographe Bay","Fished",13.3,"Yes","Yes","Logan","Molly"
"2014-12_Geographe.Bay_stereoBRUVs","135",-33.5019,115.4207,2014-12-16 04:54:00,"Geographe Bay","Geographe Bay","Fished",15.8,"Yes","Yes","Logan","Molly"
"2014-12_Geographe.Bay_stereoBRUVs","138",-33.5808,115.1139,2014-12-14 22:50:00,"Geographe Bay","Geographe Bay","Fished",15,"Yes","Yes","Unknown","Unknown"
"2014-12_Geographe.Bay_stereoBRUVs","139",-33.6033,115.2737,2014-12-17 00:29:00,"Geographe Bay","Geographe Bay","Fished",13.4,"Yes","Yes","Daphne","Molly"
"2014-12_Geographe.Bay_stereoBRUVs","143",-33.5762,115.2367,2014-12-15 05:24:00,"Geographe Bay","Geographe Bay","Fished",23.2,"Yes","Yes","Logan","Molly"
"2014-12_Geographe.Bay_stereoBRUVs","144",-33.5342,115.4323,2014-12-16 07:37:00,"Geographe Bay","Geographe Bay","Fished",12.3,"Yes","Yes","Unknown","Unknown"
"2014-12_Geographe.Bay_stereoBRUVs","151",-33.4768,115.4329,2014-12-16 01:12:00,"Geographe Bay","Geographe Bay","Fished",17.2,"Yes","Yes","Daphne","Molly"
"2014-12_Geographe.Bay_stereoBRUVs","154",-33.6034,115.1968,2014-12-15 02:58:00,"Geographe Bay","Geographe Bay","Fished",13.6,"Yes","Yes","Unknown","Unknown"
"2014-12_Geographe.Bay_stereoBRUVs","160",-33.6034,115.2478,2014-12-16 07:24:00,"Geographe Bay","Geographe Bay","Fished",0,"Yes","No","Logan","Molly"
"2014-12_Geographe.Bay_stereoBRUVs","167",-33.4627,115.4806,2014-12-16 01:25:00,"Geographe Bay","Geographe Bay","Fished",14.4,"Yes","Yes","Logan","Molly"
"2014-12_Geographe.Bay_stereoBRUVs","170",-33.5417,115.3698,2014-12-16 05:39:00,"Geographe Bay","Geographe Bay","No-take",15.8,"Yes","No","Logan","Molly"
"2014-12_Geographe.Bay_stereoBRUVs","175",-33.5518,115.1228,2014-12-14 22:34:00,"Geographe Bay","Geographe Bay","Fished",28.5,"Yes","No","Curtin",NA
"2014-12_Geographe.Bay_stereoBRUVs","183",-33.5688,115.2488,2014-12-15 05:29:00,"Geographe Bay","Geographe Bay","Fished",22.6,"Yes","Yes","Logan","Molly"
"2014-12_Geographe.Bay_stereoBRUVs","192",-33.4273,115.5756,2014-12-14 03:19:00,"Geographe Bay","Geographe Bay","Fished",4.9,"Yes","Yes","Curtin","Unknown"
"2014-12_Geographe.Bay_stereoBRUVs","196",-33.5098,115.4045,2014-12-16 04:49:00,"Geographe Bay","Geographe Bay","Fished",15.9,"Yes","Yes","Logan","Molly"
"2014-12_Geographe.Bay_stereoBRUVs","199",-33.5975,115.2109,2014-12-15 02:53:00,"Geographe Bay","Geographe Bay","Fished",15.2,"Yes","No","Curtin",NA
"2014-12_Geographe.Bay_stereoBRUVs","202",-33.5779,115.4117,2014-12-16 22:04:00,"Geographe Bay","Geographe Bay","No-take",9.8,"Yes","Yes","Unknown","Unknown"
"2014-12_Geographe.Bay_stereoBRUVs","207",-33.5738,115.2317,2014-12-12 00:06:00,"Geographe Bay","Geographe Bay","Fished",23.3,"Yes","Yes","Hayley","Molly"
"2014-12_Geographe.Bay_stereoBRUVs","208",-33.3873,115.5742,2014-12-14 03:03:00,"Geographe Bay","Geographe Bay","Fished",7.2,"Yes","Yes","Curtin","Unknown"
"2014-12_Geographe.Bay_stereoBRUVs","215",-33.6066,115.2241,2014-12-15 02:45:00,"Geographe Bay","Geographe Bay","Fished",14.1,"Yes","No","Curtin",NA
"2014-12_Geographe.Bay_stereoBRUVs","218",-33.5955,115.3031,2014-12-17 01:46:00,"Geographe Bay","Geographe Bay","Fished",14.7,"Yes","Yes","Curtin","Unknown"
"2014-12_Geographe.Bay_stereoBRUVs","224",-33.4189,115.5036,2014-12-15 22:59:00,"Geographe Bay","Geographe Bay","Fished",16.5,"Yes","Yes","Hayley","Molly"
"2014-12_Geographe.Bay_stereoBRUVs","234",-33.6032,115.3602,2014-12-17 02:03:00,"Geographe Bay","Geographe Bay","Fished",9.3,"Yes","Yes","Curtin","Unknown"
"2014-12_Geographe.Bay_stereoBRUVs","236",-33.4949,115.4767,2014-12-16 02:45:00,"Geographe Bay","Geographe Bay","Fished",13.1,"Yes","Yes","Unknown","Unknown"
"2014-12_Geographe.Bay_stereoBRUVs","240",-33.4388,115.4685,2014-12-16 00:56:00,"Geographe Bay","Geographe Bay","Fished",18.9,"Yes","No","Logan","Molly"
"2014-12_Geographe.Bay_stereoBRUVs","247",-33.5561,115.1345,2014-12-14 22:30:00,"Geographe Bay","Geographe Bay","Fished",26.4,"Yes","Yes","Curtin","Unknown"
"2014-12_Geographe.Bay_stereoBRUVs","250",-33.5628,115.4224,2014-12-16 07:17:00,"Geographe Bay","Geographe Bay","No-take",10,"Yes","No","Curtin",NA
"2014-12_Geographe.Bay_stereoBRUVs","256",-33.4083,115.4775,2014-12-14 05:12:00,"Geographe Bay","Geographe Bay","Fished",11.1,"Yes","Yes","Logan","Molly"
"2014-12_Geographe.Bay_stereoBRUVs","267",-33.5707,115.1362,2014-12-14 22:22:00,"Geographe Bay","Geographe Bay","Fished",23.2,"Yes","Yes","Curtin","Unknown"
"2014-12_Geographe.Bay_stereoBRUVs","270",-33.5205,115.4206,2014-12-12 22:00:00,"Geographe Bay","Geographe Bay","Fished",13.7,"Yes","Yes","Logan","Molly"
"2014-12_Geographe.Bay_stereoBRUVs","271",-33.5937,115.2133,2014-12-11 22:06:00,"Geographe Bay","Geographe Bay","Fished",27.3,"Yes","Yes","Logan","Molly"
"2014-12_Geographe.Bay_stereoBRUVs","272",-33.3815,115.4879,2014-12-14 00:37:00,"Geographe Bay","Geographe Bay","Fished",11.7,"Yes","Yes","Logan (ends 54:39)","Molly"
"2014-12_Geographe.Bay_stereoBRUVs","282",-33.5572,115.3322,2014-12-17 00:02:00,"Geographe Bay","Geographe Bay","Fished",18.2,"Yes","Yes","Logan","Molly"
"2014-12_Geographe.Bay_stereoBRUVs","279",-33.5012,115.4379,2014-12-16 03:32:00,"Geographe Bay","Geographe Bay","Fished",14.2,"Yes","No","Curtin",NA
"2014-12_Geographe.Bay_stereoBRUVs","287",-33.594,115.2189,2014-12-15 02:50:00,"Geographe Bay","Geographe Bay","Fished",16.4,"Yes","Yes","Logan","Molly"
"2014-12_Geographe.Bay_stereoBRUVs","288",-33.471,115.4776,2014-12-16 01:29:00,"Geographe Bay","Geographe Bay","Fished",14.3,"Yes","Yes","Logan","Molly"
"2014-12_Geographe.Bay_stereoBRUVs","295",-33.5555,115.4661,2014-12-16 07:50:00,"Geographe Bay","Geographe Bay","Fished",2.5,"Yes","Yes","Unknown","Unknown"
"2014-12_Geographe.Bay_stereoBRUVs","298",-33.5825,115.1301,2014-12-14 22:56:00,"Geographe Bay","Geographe Bay","Fished",18.1,"Yes","Yes","Unknown","Unknown"
"2014-12_Geographe.Bay_stereoBRUVs","304",-33.5958,115.1454,2014-12-15 02:17:00,"Geographe Bay","Geographe Bay","Fished",13.7,"Yes","Yes","Curtin","Unknown"
"2014-12_Geographe.Bay_stereoBRUVs","314",-33.5869,115.1628,2014-12-15 01:03:00,"Geographe Bay","Geographe Bay","Fished",20,"Yes","Yes","Curtin","Unknown"
"2014-12_Geographe.Bay_stereoBRUVs","327",-33.4892,115.3942,2014-12-14 06:10:00,"Geographe Bay","Geographe Bay","Fished",11.8,"Yes","Yes","Logan","Molly"
"2014-12_Geographe.Bay_stereoBRUVs","330",-33.5691,115.104,2014-12-14 22:44:00,"Geographe Bay","Geographe Bay","No-take",17.7,"Yes","No","Curtin",NA
"2014-12_Geographe.Bay_stereoBRUVs","331",-33.6031,115.253,2014-12-15 05:46:00,"Geographe Bay","Geographe Bay","Fished",14.3,"Yes","Yes","Logan","Molly"
"2014-12_Geographe.Bay_stereoBRUVs","335",-33.5771,115.2267,2014-12-12 00:09:00,"Geographe Bay","Geographe Bay","Fished",21.6,"Yes","Yes","Hayley","Molly"
"2014-12_Geographe.Bay_stereoBRUVs","346",-33.6092,115.2393,2014-12-15 05:08:00,"Geographe Bay","Geographe Bay","Fished",14,"Yes","Yes","Curtin","Unknown"
"2014-12_Geographe.Bay_stereoBRUVs","352",-33.4518,115.488,2014-12-16 00:45:00,"Geographe Bay","Geographe Bay","Fished",15.2,"Yes","Yes","Daphne","Molly"
"2014-12_Geographe.Bay_stereoBRUVs","362",-33.627,115.2948,2014-12-17 02:23:00,"Geographe Bay","Geographe Bay","Fished",9.4,"Yes","Yes","Curtin","Unknown"
"2014-12_Geographe.Bay_stereoBRUVs","368",-33.5725,115.4513,2014-12-16 07:59:00,"Geographe Bay","Geographe Bay","Fished",3.7,"Yes","Yes","Curtin","Unknown"
"2014-12_Geographe.Bay_stereoBRUVs","375",-33.5902,115.2206,2014-12-11 22:14:00,"Geographe Bay","Geographe Bay","Fished",26.9,"Yes","No","Logan","Molly"
